h_months,expected_short_rate,expected_base_rate
1,2.942,2.845
2,3.028,2.931
3,3.104,3.007
4,3.171,3.074
5,3.229,3.132
6,3.279,3.182
7,3.321,3.224
8,3.356,3.259
9,3.384,3.286
10,3.405,3.308
11,3.421,3.323
12,3.431,3.334
13,3.436,3.339
14,3.437,3.34
15,3.434,3.337
16,3.427,3.33
17,3.418,3.32
18,3.405,3.308
19,3.39,3.293
20,3.373,3.276
21,3.355,3.258
22,3.335,3.238
23,3.314,3.217
24,3.292,3.195
25,3.27,3.173
26,3.247,3.15
27,3.224,3.127
28,3.201,3.104
29,3.178,3.081
30,3.156,3.059
31,3.133,3.036
32,3.112,3.014
33,3.09,2.993
34,3.069,2.972
35,3.049,2.952
36,3.03,2.933
37,3.011,2.914
38,2.993,2.896
39,2.976,2.879
40,2.959,2.862
41,2.944,2.846
42,2.929,2.831
43,2.914,2.817
44,2.901,2.803
45,2.888,2.791
46,2.875,2.778
47,2.864,2.767
48,2.853,2.756
49,2.842,2.745
50,2.832,2.735
51,2.823,2.726
52,2.814,2.717
53,2.806,2.708
54,2.798,2.7
55,2.79,2.693
56,2.783,2.685
57,2.776,2.678
58,2.769,2.672
59,2.763,2.665
60,2.756,2.659
61,2.751,2.653
62,2.745,2.648
63,2.739,2.642
64,2.734,2.637
65,2.729,2.632
66,2.724,2.627
67,2.719,2.622
68,2.714,2.617
69,2.71,2.612
70,2.705,2.608
71,2.701,2.603
72,2.696,2.599
73,2.692,2.595
74,2.688,2.59
75,2.683,2.586
76,2.679,2.582
77,2.675,2.578
78,2.671,2.574
79,2.667,2.57
80,2.663,2.566
81,2.659,2.562
82,2.655,2.558
83,2.651,2.554
84,2.647,2.55
85,2.644,2.546
86,2.64,2.543
87,2.636,2.539
88,2.632,2.535
89,2.629,2.532
90,2.625,2.528
91,2.622,2.524
92,2.618,2.521
93,2.615,2.517
94,2.611,2.514
95,2.608,2.51
96,2.604,2.507
97,2.601,2.504
98,2.598,2.5
99,2.594,2.497
100,2.591,2.494
101,2.588,2.491
102,2.585,2.488
103,2.582,2.484
104,2.579,2.481
105,2.576,2.478
106,2.573,2.475
107,2.57,2.472
108,2.567,2.47
109,2.564,2.467
110,2.561,2.464
111,2.558,2.461
112,2.556,2.459
113,2.553,2.456
114,2.55,2.453
115,2.548,2.451
116,2.545,2.448
117,2.543,2.446
118,2.54,2.443
119,2.538,2.441
120,2.536,2.438
