month,level,slope,curvature,short_proxy
2013-01,3.621,-0.873,-1.209,2.748
2013-02,3.519,-0.852,-1.365,2.667
2013-03,3.373,-0.764,-1.47,2.609
2013-04,3.341,-0.664,-1.61,2.677
2013-05,3.501,-0.943,-0.646,2.558
2013-06,3.794,-1.267,-0.47,2.527
2013-07,4.015,-1.495,-0.725,2.521
2013-08,4.198,-1.679,-1.175,2.52
2013-09,4.175,-1.61,-1.475,2.565
2013-10,4.156,-1.602,-1.451,2.554
2013-11,4.339,-1.867,-0.891,2.472
2013-12,4.409,-1.87,-1.49,2.539
2014-01,4.481,-1.915,-1.65,2.566
2014-02,4.406,-1.829,-1.791,2.577
2014-03,4.386,-1.808,-1.672,2.578
2014-04,4.382,-1.803,-1.651,2.58
2014-05,4.194,-1.595,-1.668,2.6
2014-06,4.009,-1.399,-1.834,2.611
2014-07,3.893,-1.477,-1.862,2.416
2014-08,3.811,-1.491,-1.589,2.32
2014-09,3.699,-1.478,-1.967,2.222
2014-10,3.506,-1.402,-2.01,2.104
2014-11,3.416,-1.336,-2.045,2.081
2014-12,3.384,-1.262,-1.92,2.122
2015-01,3.013,-0.953,-1.839,2.06
2015-02,2.95,-0.901,-1.449,2.05
2015-03,2.843,-1.05,-1.856,1.794
2015-04,3.055,-1.312,-1.53,1.743
2015-05,3.07,-1.332,-1.929,1.738
2015-06,3.191,-1.623,-1.584,1.568
2015-07,3.224,-1.716,-1.642,1.508
2015-08,3.126,-1.57,-1.774,1.556
2015-09,2.926,-1.362,-2.063,1.564
2015-10,2.837,-1.28,-1.624,1.558
2015-11,2.879,-1.203,-1.363,1.676
2015-12,2.751,-1.141,-1.482,1.61
2016-01,2.643,-1.085,-1.567,1.558
2016-02,2.463,-0.934,-1.668,1.529
2016-03,2.412,-0.845,-1.631,1.567
2016-04,2.384,-0.827,-1.567,1.557
2016-05,2.35,-0.802,-1.353,1.548
2016-06,2.051,-0.691,-1.443,1.36
2016-07,1.864,-0.564,-1.167,1.301
2016-08,1.837,-0.53,-0.747,1.306
2016-09,1.781,-0.429,-0.903,1.352
2016-10,1.934,-0.563,-0.513,1.37
2016-11,2.374,-0.853,-0.328,1.521
2016-12,2.457,-1.083,-0.51,1.375
2017-01,2.569,-1.272,-0.5,1.297
2017-02,2.638,-1.371,-0.614,1.267
2017-03,2.726,-1.424,-0.835,1.302
2017-04,2.775,-1.481,-0.919,1.293
2017-05,2.838,-1.58,-0.924,1.258
2017-06,2.812,-1.539,-0.822,1.273
2017-07,2.799,-1.606,-0.641,1.193
2017-08,2.803,-1.608,-0.482,1.195
2017-09,2.828,-1.607,-0.133,1.221
2017-10,2.83,-1.533,0.827,1.297
2017-11,2.823,-1.358,0.175,1.464
2017-12,2.748,-1.277,0.497,1.471
2018-01,2.952,-1.593,0.942,1.359
2018-02,3.026,-1.651,0.665,1.376
2018-03,2.972,-1.512,0.393,1.46
2018-04,3.075,-1.616,0.292,1.459
2018-05,3.112,-1.625,0.121,1.487
2018-06,3.024,-1.491,-0.134,1.533
2018-07,3.01,-1.481,-0.097,1.529
2018-08,2.874,-1.333,-0.719,1.541
2018-09,2.798,-1.213,-0.332,1.585
2018-10,2.684,-1.036,-0.483,1.647
2018-11,2.56,-0.801,-0.738,1.759
2018-12,2.374,-0.622,-0.704,1.752
2019-01,2.361,-0.59,-0.718,1.771
2019-02,2.33,-0.568,-0.64,1.762
2019-03,2.232,-0.427,-1.017,1.805
2019-04,2.21,-0.422,-0.929,1.787
2019-05,2.062,-0.395,-0.955,1.667
2019-06,1.969,-0.414,-0.913,1.555
2019-07,1.807,-0.404,-1.045,1.403
2019-08,1.681,-0.441,-0.844,1.24
2019-09,1.727,-0.466,-0.489,1.261
2019-10,1.932,-0.705,-0.133,1.227
2019-11,1.96,-0.673,-0.555,1.287
2019-12,2.045,-0.744,-0.792,1.301
2020-01,1.998,-0.735,-0.915,1.263
2020-02,1.835,-0.679,-1.204,1.156
2020-03,1.964,-1.149,-0.683,0.815
2020-04,2.024,-1.411,-0.697,0.612
2020-05,2.011,-1.531,-1.092,0.48
2020-06,2.002,-1.577,-0.862,0.424
2020-07,1.93,-1.513,-0.953,0.417
2020-08,2.057,-1.66,-0.542,0.397
2020-09,2.079,-1.598,-1.067,0.481
2020-10,2.148,-1.761,-0.688,0.387
2020-11,2.274,-1.959,-0.58,0.315
2020-12,2.387,-2.01,-0.796,0.378
2021-01,2.499,-2.104,-1.063,0.395
2021-02,2.769,-2.408,-1.204,0.361
2021-03,2.949,-2.558,-1.242,0.391
2021-04,3.082,-2.742,-1.306,0.34
2021-05,3.14,-2.838,-1.064,0.301
2021-06,2.87,-2.39,-0.337,0.481
2021-07,2.483,-2.013,0.082,0.47
2021-08,2.451,-1.769,-0.19,0.682
2021-09,2.636,-2.006,0.397,0.63
2021-10,2.723,-2.024,1.805,0.699
2021-11,2.577,-1.709,0.603,0.868
2021-12,2.584,-1.676,0.558,0.908
2022-01,2.771,-1.811,1.347,0.96
2022-02,2.901,-1.95,1.347,0.951
2022-03,3.015,-1.9,2.218,1.115
2022-04,3.055,-1.955,3.346,1.099
2022-05,3.243,-1.811,2.691,1.432
2022-06,3.092,-1.295,4.368,1.797
2022-07,2.952,-0.721,1.939,2.23
2022-08,3.153,-0.694,3.464,2.459
2022-09,3.298,-0.705,4.527,2.593
2022-10,3.574,-0.579,3.606,2.995
2022-11,3.471,-0.088,1.388,3.384
2022-12,3.669,0.003,0.415,3.672
2023-01,3.445,0.05,-0.406,3.495
2023-02,3.581,-0.087,1.112,3.494
2023-03,3.487,-0.238,-0.105,3.249
2023-04,3.485,-0.249,-0.04,3.236
2023-05,3.633,-0.119,-0.256,3.515
2023-06,3.691,-0.179,0.29,3.511
2023-07,3.817,-0.348,0.266,3.47
2023-08,3.889,-0.508,0.442,3.38
2023-09,4.026,-0.598,0.722,3.428
2023-10,4.295,-0.995,1.243,3.3
2023-11,4.026,-0.505,-0.403,3.521
2023-12,3.699,-0.066,-1.67,3.632
2024-01,3.689,-0.172,-1.095,3.517
2024-02,3.717,-0.199,-0.612,3.518
2024-03,3.697,-0.205,-0.833,3.492
2024-04,3.822,-0.403,-0.188,3.419
2024-05,3.842,-0.431,-0.464,3.411
2024-06,3.69,-0.245,-1.25,3.445
2024-07,3.544,-0.139,-1.6,3.405
2024-08,3.551,-0.2,-1.595,3.35
2024-09,3.502,-0.431,-1.576,3.072
2024-10,3.519,-0.475,-1.117,3.043
2024-11,3.361,-0.311,-1.956,3.05
2024-12,3.365,-0.477,-1.473,2.888
2025-01,3.392,-0.575,-1.581,2.816
2025-02,3.213,-0.452,-1.332,2.761
2025-03,3.176,-0.495,-1.056,2.682
2025-04,3.149,-0.559,-1.823,2.591
2025-05,3.334,-0.926,-1.567,2.408
2025-06,3.359,-1.007,-1.171,2.352
2025-07,3.357,-1.031,-1.162,2.326
2025-08,3.421,-1.086,-1.363,2.335
2025-09,3.457,-1.187,-0.793,2.27
2025-10,3.525,-1.166,-0.587,2.359
2025-11,3.692,-1.381,0.125,2.311
2025-12,3.784,-1.53,0.132,2.254
2026-01,3.971,-1.68,0.415,2.292
2026-02,3.952,-1.536,-0.214,2.416
2026-03,4.005,-1.519,1.45,2.486
