date,implied_ye_rate,prob_0115,prob_0226,prob_0410,prob_0528,prob_0716,prob_0827,prob_1022,prob_1126
2025-07-01,2.588,0,0.093,0.155,0.166,,,,
2025-07-02,3.108,0.261,0.633,0.765,0.772,,,,
2025-07-03,3.08,0.24,0.603,0.733,0.742,,,,
2025-07-04,3.08,0.239,0.603,0.735,0.745,,,,
2025-07-07,3.072,0.219,0.592,0.73,0.745,,,,
2025-07-08,3.067,0.194,0.586,0.735,0.753,,,,
2025-07-09,3.0,0.16,0.516,0.653,0.672,,,,
2025-07-10,2.79,0.111,0.299,0.371,0.38,,,,
2025-07-11,2.943,0.13,0.371,0.448,0.432,0.392,,,
2025-07-14,2.972,0.129,0.393,0.48,0.465,0.423,,,
2025-07-15,3.0,0.106,0.413,0.517,0.505,0.459,,,
2025-07-16,3.003,0.133,0.417,0.512,0.498,0.453,,,
2025-07-17,3.058,0.151,0.461,0.566,0.552,0.503,,,
2025-07-18,3.02,0.132,0.427,0.529,0.518,0.474,,,
2025-07-21,2.925,0.072,0.342,0.441,0.439,0.406,,,
2025-07-22,2.91,0.07,0.328,0.424,0.424,0.393,,,
2025-07-23,2.901,0.057,0.319,0.418,0.421,0.391,,,
2025-07-24,2.895,0.052,0.312,0.411,0.415,0.387,,,
2025-07-25,2.892,0.045,0.308,0.41,0.416,0.388,,,
2025-07-28,2.727,0.03,0.177,0.236,0.24,0.226,,,
2025-07-29,2.669,0.018,0.131,0.176,0.18,0.17,,,
2025-07-30,2.628,0.017,0.099,0.132,0.136,0.128,,,
2025-07-31,2.639,0.007,0.106,0.146,0.152,0.144,,,
2025-08-01,2.701,0,0.151,0.217,0.227,0.217,,,
2025-08-04,2.538,0,0.02,0.059,0.07,0.069,,,
2025-08-05,2.552,0,0.028,0.076,0.09,0.089,,,
2025-08-06,2.576,0,0.043,0.108,0.126,0.124,,,
2025-08-07,2.544,0,0.019,0.072,0.088,0.088,,,
2025-08-08,2.575,0,0.044,0.101,0.118,0.116,,,
2025-08-11,2.614,0,0.064,0.154,0.182,0.18,,,
2025-08-12,2.644,0,0.084,0.189,0.221,0.219,,,
2025-08-13,2.611,0,0.056,0.159,0.193,0.193,,,
2025-08-14,2.584,0,0.034,0.133,0.167,0.168,,,
2025-08-18,2.642,0,0.064,0.21,0.261,0.264,,,
2025-08-19,2.646,0,0.061,0.221,0.278,0.282,,,
