date,delta_0115_bp,delta_0226_bp,delta_0410_bp,delta_0528_bp,delta_0716_bp,delta_0827_bp,delta_1022_bp,delta_1126_bp,delta_next_bp,implied_ye_rate,next_meeting,prob_0115,prob_0226,prob_0410,prob_0528,prob_0716,prob_0827,prob_1022,prob_1126,prob_next_cut,prob_next_hike,r0,rmse_bp
2025-07-01,1.7,-0.5,-3.7,-4.5,,,,,-0.9,2.43,2025-07-10,0.068,0,0,0,,,,,0.034,0,2.54,0.09
2025-07-02,1.9,0.0,-3.2,-3.9,,,,,0.8,2.448,2025-07-10,0.075,0.002,0,0,,,,,0,0.033,2.525,0.23
2025-07-03,5.3,1.8,-4.7,-6.3,,,,,4.9,2.461,2025-07-10,0.213,0.071,0,0,,,,,0,0.198,2.484,0.31
2025-07-04,2.8,1.1,-3.1,-4.1,,,,,2.0,2.466,2025-07-10,0.111,0.043,0,0,,,,,0,0.079,2.495,0.24
2025-07-07,2.6,1.6,-2.3,-3.3,,,,,2.0,2.485,2025-07-10,0.102,0.062,0,0,,,,,0,0.081,2.494,0.39
2025-07-08,3.4,2.3,-2.5,-3.8,,,,,0.4,2.494,2025-07-10,0.135,0.09,0,0,,,,,0,0.017,2.503,0.37
2025-07-09,4.6,2.4,-4.3,-6.2,,,,,-0.2,2.465,2025-07-10,0.185,0.097,0,0,,,,,0.007,0,2.503,0.34
2025-07-10,1.0,1.2,-1.6,-2.4,,,,,-11.4,2.483,2025-08-28,0.04,0.05,0,0,,,,,0.455,0,2.52,0.52
2025-07-11,1.3,1.6,-1.7,-2.5,-2.3,,,,-8.5,2.464,2025-08-28,0.052,0.063,0,0,0,,,,0.341,0,2.51,0.21
2025-07-14,0.6,2.1,0.2,-0.5,-0.5,,,,-8.9,2.519,2025-08-28,0.022,0.083,0.008,0,0,,,,0.355,0,2.515,0.37
2025-07-15,0.2,2.1,0.3,-0.5,-0.4,,,,-7.5,2.516,2025-08-28,0.006,0.083,0.011,0,0,,,,0.299,0,2.51,0.43
2025-07-16,1.1,3.1,0.2,-1.0,-1.0,,,,-5.4,2.524,2025-08-28,0.046,0.123,0.007,0,0,,,,0.217,0,2.5,0.32
2025-07-17,0.7,3.2,0.8,-0.4,-0.4,,,,-4.2,2.54,2025-08-28,0.027,0.129,0.032,0,0,,,,0.167,0,2.495,0.41
2025-07-18,-3.1,1.2,1.8,1.6,1.5,,,,-4.0,2.53,2025-08-28,0,0.047,0.07,0.065,0.059,,,,0.162,0,2.495,0.42
2025-07-21,-9.6,-7.1,-0.9,2.0,2.1,,,,-15.1,2.364,2025-08-28,0,0,0,0.08,0.083,,,,0.603,0,2.49,0.66
