month,level,slope,curvature,short_proxy
2013-01,3.463,-0.69,-1.172,2.773
2013-02,3.345,-0.652,-1.286,2.692
2013-03,3.282,-0.629,-1.57,2.654
2013-04,3.216,-0.492,-1.637,2.724
2013-05,3.525,-0.945,-0.956,2.581
2013-06,3.873,-1.303,-1.024,2.57
2013-07,4.016,-1.451,-1.18,2.565
2013-08,4.144,-1.574,-1.566,2.57
2013-09,3.978,-1.383,-1.508,2.595
2013-10,4.02,-1.429,-1.608,2.591
2013-11,4.3,-1.799,-1.279,2.501
2013-12,4.175,-1.605,-1.519,2.57
2014-01,4.269,-1.671,-1.717,2.598
2014-02,4.108,-1.512,-1.635,2.596
2014-03,4.096,-1.506,-1.507,2.59
2014-04,4.097,-1.503,-1.503,2.593
2014-05,3.785,-1.193,-1.181,2.591
2014-06,3.617,-1.006,-1.363,2.611
2014-07,3.563,-1.143,-1.537,2.42
2014-08,3.498,-1.18,-1.285,2.318
2014-09,3.332,-1.103,-1.582,2.229
2014-10,3.137,-1.03,-1.58,2.106
2014-11,3.108,-1.008,-1.766,2.1
2014-12,3.112,-0.967,-1.708,2.146
2015-01,2.607,-0.554,-1.227,2.053
2015-02,2.768,-0.698,-1.333,2.07
2015-03,2.631,-0.812,-1.732,1.819
2015-04,2.97,-1.187,-1.739,1.783
2015-05,2.834,-1.062,-1.84,1.773
2015-06,3.009,-1.422,-1.613,1.586
2015-07,2.964,-1.44,-1.535,1.524
2015-08,2.769,-1.206,-1.426,1.563
2015-09,2.494,-0.929,-1.506,1.565
2015-10,2.436,-0.897,-1.062,1.539
2015-11,2.582,-0.905,-1.045,1.677
2015-12,2.378,-0.781,-0.979,1.598
2016-01,2.261,-0.716,-1.031,1.545
2016-02,2.018,-0.509,-0.964,1.509
2016-03,2.057,-0.493,-1.124,1.564
2016-04,2.047,-0.494,-1.088,1.553
2016-05,2.043,-0.502,-0.92,1.541
2016-06,1.66,-0.323,-0.783,1.337
2016-07,1.538,-0.256,-0.617,1.282
2016-08,1.585,-0.296,-0.351,1.289
2016-09,1.52,-0.174,-0.504,1.346
2016-10,1.84,-0.465,-0.494,1.376
2016-11,2.284,-0.756,-0.4,1.528
2016-12,2.318,-0.947,-0.494,1.371
2017-01,2.36,-1.08,-0.352,1.28
2017-02,2.379,-1.129,-0.384,1.249
2017-03,2.559,-1.244,-0.863,1.315
2017-04,2.545,-1.251,-0.801,1.293
2017-05,2.582,-1.332,-0.754,1.25
2017-06,2.479,-1.231,-0.45,1.248
2017-07,2.452,-1.297,-0.229,1.155
2017-08,2.49,-1.328,-0.151,1.162
2017-09,2.477,-1.309,0.316,1.168
2017-10,2.564,-1.34,1.177,1.224
2017-11,2.483,-1.061,0.597,1.422
2017-12,2.474,-1.061,0.863,1.413
2018-01,2.767,-1.471,1.063,1.296
