meeting,surprise_bp,decision_bp
2011-01-13,4.0,25
2011-02-11,0.0,0
2011-03-10,-1.0,25
2011-04-12,-1.0,0
2011-05-13,-1.0,0
2011-06-10,5.0,25
2011-07-14,0.0,0
2011-08-11,0.0,0
2011-09-08,-3.0,0
2011-10-13,0.0,0
2011-11-11,1.0,0
2011-12-08,0.0,0
2012-01-13,0.0,0
2012-02-09,0.0,0
2012-03-08,0.0,0
2012-04-13,0.0,0
2012-05-10,1.0,0
2012-06-08,-2.0,0
2012-07-12,-25.0,-25
2012-08-09,4.0,0
2012-09-13,4.0,0
2012-10-11,2.0,-25
2012-11-09,2.0,0
2012-12-13,1.0,0
2013-01-11,3.0,0
2013-02-14,0.0,0
2013-03-14,0.0,0
2013-04-11,12.0,0
2013-05-09,-4.0,-25
2013-06-13,-5.0,0
2013-07-11,-3.0,0
2013-08-08,-1.0,0
2013-09-12,-1.0,0
2013-10-10,0.0,0
2013-11-14,-0.4,0
2013-12-12,-0.1,0
2014-01-09,0.8,0
2014-02-13,-0.3,0
2014-03-13,0.0,0
2014-04-10,0.3,0
2014-05-09,-0.4,0
2014-06-12,-0.9,0
2014-07-10,-2.1,0
2014-08-14,0.5,-25
2014-09-12,-4.2,0
2014-10-15,-0.7,-25
2014-11-13,0.2,0
2014-12-11,-1.9,0
2015-01-15,4.2,0
2015-02-17,-1.7,0
2015-03-12,-3.4,-25
2015-04-09,-1.7,0
2015-05-15,1.1,0
2015-06-11,-1.4,-25
2015-07-09,-0.4,0
2015-08-13,0.7,0
2015-09-11,0.2,0
2015-10-15,-1.1,0
2015-11-12,-0.3,0
2015-12-10,-0.4,0
2016-01-14,0.3,0
2016-02-16,-3.9,0
2016-03-10,1.0,0
2016-04-19,-0.3,0
2016-05-13,0.9,0
2016-06-09,-7.8,-25
2016-07-14,-0.1,0
2016-08-11,0.4,0
2016-09-09,2.2,0
2016-10-13,-1.2,0
2016-11-11,1.3,0
2016-12-15,0.5,0
2017-01-13,1.1,0
2017-02-23,-0.3,0
2017-04-13,-0.6,0
2017-05-25,-0.1,0
2017-07-13,-0.4,0
2017-08-31,0.0,0
2017-10-19,2.4,0
2017-11-30,-1.0,25
2018-01-18,-0.9,0
2018-02-27,-0.2,0
2018-04-12,-0.2,0
2018-05-24,-0.4,0
2018-07-12,1.0,0
2018-08-31,-0.4,0
2018-10-18,-0.1,0
2018-11-30,0.8,25
2019-01-24,0.1,0
2019-02-28,0.1,0
2019-04-18,-1.1,0
2019-05-31,-3.5,0
2019-07-18,-3.0,-25
2019-08-30,0.0,0
2019-10-16,0.0,-25
2019-11-29,-1.0,0
2020-01-17,0.2,0
2020-02-27,3.2,0
2020-03-16,-6.1,-50
2020-04-09,-1.6,0
2020-05-28,-5.4,-25
2020-07-16,-0.8,0
2020-08-27,0.3,0
2020-10-14,-0.5,0
2020-11-26,0.4,0
2021-01-15,-1.4,0
2021-02-25,-0.2,0
2021-04-15,0.4,0
2021-05-27,-0.2,0
2021-07-15,2.1,0
2021-08-26,5.2,25
2021-10-12,2.3,0
2021-11-25,1.4,25
2022-01-14,1.8,25
2022-02-24,-0.9,0
2022-04-14,-0.1,25
2022-05-26,19.3,25
2022-07-13,23.4,50
2022-08-25,15.5,25
2022-10-12,24.5,50
2022-11-24,-2.2,25
2023-01-13,0.9,25
2023-02-23,-0.9,0
2023-04-11,0.1,0
2023-05-25,2.8,0
2023-07-13,-1.5,0
2023-08-24,-0.3,0
2023-10-19,0.4,0
2023-11-30,-0.3,0
2024-01-11,-1.1,0
2024-02-22,-1.0,0
2024-04-12,-2.3,0
2024-05-23,-0.3,0
2024-07-11,1.2,0
2024-08-22,-0.6,0
2024-10-11,-1.1,-25
2024-11-28,-3.5,-25
2025-01-16,-0.9,0
2025-02-25,0.5,-25
2025-04-17,0.3,0
2025-05-29,0.0,-25
2025-07-10,-0.9,0
2025-08-28,0.1,0
2025-10-23,0.5,0
2025-11-27,4.8,0
2026-01-15,3.5,0
2026-02-26,-1.2,0
2026-04-10,0.9,0
2026-05-28,1.3,0
2026-07-16,0.2,25
2026-08-27,-2.1,25
