meeting,outcome,msb_asof,msb_hike,msb_hold,msb_cut,irs_hike,irs_hold,irs_cut,ois_hike,ois_hold,ois_cut,bmsi_hike,bmsi_hold,bmsi_cut
2011-01-13,hike,,,,,0.0,0.761,0.239,,,,,,
2011-02-11,hold,,,,,0.0,0.401,0.599,,,,,,
2011-03-10,hike,,,,,0.0,0.762,0.238,,,,,,
2011-04-12,hold,,,,,0.0,0.799,0.201,,,,,,
2011-05-13,hold,,,,,0.0,0.796,0.204,,,,,,
2011-06-10,hike,,,,,0.0,0.811,0.189,,,,,,
2011-07-14,hold,,,,,0.0,0.787,0.213,,,,,,
2011-08-11,hold,,,,,0.0,0.977,0.023,,,,,,
2011-09-08,hold,,,,,0.0,0.932,0.068,,,,,,
2011-10-13,hold,,,,,0.0,0.956,0.044,,,,,,
2011-11-11,hold,,,,,0.0,0.987,0.013,,,,,,
2011-12-08,hold,,,,,0.027,0.973,0.0,,,,,,
2012-01-13,hold,,,,,0.0,0.965,0.035,,,,,,
2012-02-09,hold,,,,,0.0,0.937,0.063,,,,,,
2012-03-08,hold,,,,,0.0,0.918,0.082,,,,,,
2012-04-13,hold,,,,,0.0,0.924,0.076,,,,,,
2012-05-10,hold,,,,,0.0,0.983,0.017,,,,,,
2012-06-08,hold,,,,,0.0,0.999,0.001,,,,,,
2012-07-12,cut,,,,,0.043,0.957,0.0,,,,,,
2012-08-09,hold,,,,,0.108,0.892,0.0,,,,,,
2012-09-13,hold,,,,,0.083,0.917,0.0,,,,,,
2012-10-11,cut,,,,,0.096,0.904,0.0,,,,,,
2012-11-09,hold,,,,,0.0,0.991,0.009,,,,,,
2012-12-13,hold,,,,,0.019,0.981,0.0,,,,,,
2013-01-11,hold,,,,,0.065,0.935,0.0,,,,0.0,0.898,0.102
2013-02-14,hold,2013-02-13,0.0,0.89,0.11,0.037,0.963,0.0,,,,0.0,0.847,0.153
2013-03-14,hold,2013-03-13,0.0,0.6,0.4,0.03,0.97,0.0,,,,0.0,0.538,0.462
2013-04-11,hold,2013-04-10,0.0,0.381,0.619,0.063,0.937,0.0,,,,0.0,0.421,0.579
2013-05-09,cut,2013-05-08,0.0,0.785,0.215,0.057,0.943,0.0,,,,0.0,0.713,0.287
2013-06-13,hold,2013-06-12,0.242,0.758,0.0,0.0,0.954,0.046,,,,0.0,0.978,0.022
2013-07-11,hold,2013-07-10,0.257,0.743,0.0,0.0,0.931,0.069,,,,0.0,0.992,0.008
2013-08-08,hold,2013-08-07,0.136,0.864,0.0,0.0,0.95,0.05,,,,0.0,1.0,0.0
2013-09-12,hold,2013-09-11,0.181,0.819,0.0,0.0,0.946,0.054,,,,0.0,1.0,0.0
2013-10-10,hold,2013-10-08,0.182,0.818,0.0,0.0,0.94,0.06,,,,0.0,0.984,0.016
2013-11-14,hold,2013-11-13,0.16,0.84,0.0,0.0,0.963,0.037,,,,0.0,0.992,0.008
