meeting,outcome,msb_asof,msb_hike,msb_hold,msb_cut,irs_hike,irs_hold,irs_cut,ois_hike,ois_hold,ois_cut,bmsi_hike,bmsi_hold,bmsi_cut
2021-08-26,hike,2021-08-25,0.232,0.768,0.0,0.0,0.813,0.187,,,,0.33,0.67,0.0
2022-07-13,hike,2022-07-12,0.269,0.731,0.0,0.0,0.46,0.54,0.0,0.894,0.106,0.99,0.01,0.0
2022-10-12,hike,2022-10-11,0.0,0.773,0.227,0.0,0.471,0.529,1.0,0.0,0.0,1.0,0.0,0.0
2024-10-11,cut,2024-10-10,0.0,0.0,1.0,0.035,0.965,0.0,0.0,0.214,0.786,0.0,0.36,0.64
2024-11-28,cut,2024-11-27,0.0,0.315,0.685,0.165,0.835,0.0,0.0,0.849,0.151,0.0,0.83,0.17
2025-01-16,hold,2025-01-15,0.0,0.747,0.253,0.05,0.95,0.0,0.0,0.197,0.803,0.0,0.6,0.4
2025-05-29,cut,2025-05-28,0.0,0.306,0.694,0.219,0.781,0.0,0.0,0.065,0.935,0.0,0.31,0.69
2026-05-28,hold,2026-05-27,0.097,0.903,0.0,0.0,0.763,0.237,0.023,0.977,0.0,0.01,0.99,0.0
2026-07-16,hike,2026-07-15,1.0,0.0,0.0,0.236,0.764,0.0,0.909,0.091,0.0,0.66,0.34,0.0
2026-08-27,hike,2026-08-26,0.231,0.769,0.0,0.0,0.559,0.441,0.975,0.025,0.0,,,
