date,gap_3m_bp,gap_6m_bp,gap_1y_bp,ois1w_minus_kofr_bp,call_minus_base_bp
2022-04-01,-13.0,27.2,22.9,5.0,-1.2
2022-04-04,-16.1,27.8,21.0,-1.5,0.0
2022-04-05,-14.0,28.4,24.0,-11.3,3.0
2022-04-06,-2.6,28.0,21.2,0.8,-0.9
2022-04-07,-2.5,25.8,18.8,15.8,-7.2
2022-04-08,-19.4,25.8,19.6,6.6,-9.2
2022-04-11,-26.7,28.8,25.7,0.3,-8.2
2022-04-12,-26.4,23.2,16.3,0.8,-6.8
2022-04-13,-26.7,19.9,8.2,3.0,-10.9
2022-04-14,-29.0,27.4,16.3,-23.7,-16.7
2022-04-15,-22.8,31.2,22.4,-19.3,-6.8
2022-04-18,-2.7,32.7,27.3,3.7,-10.5
2022-04-19,-5.4,30.0,27.2,7.9,-10.1
2022-04-20,-12.7,30.8,30.6,1.0,-12.5
2022-04-21,-12.2,32.0,33.9,5.3,-10.8
2022-04-22,-16.6,33.7,35.0,-4.6,-5.1
2022-04-25,-10.0,32.0,33.2,-4.1,-8.2
2022-04-26,-3.2,33.5,35.5,1.8,-11.5
2022-04-27,-3.8,38.0,40.1,12.8,-14.1
2022-04-28,-15.5,39.5,48.0,5.0,-15.3
2022-04-29,-19.6,41.4,45.3,-23.7,3.0
2022-05-02,-10.0,41.6,46.4,-9.9,-4.6
2022-05-03,0.2,42.4,49.3,17.8,-5.8
2022-05-04,-16.5,42.4,49.9,2.4,-5.1
2022-05-06,-16.2,42.2,48.4,0.6,-8.5
2022-05-09,-14.4,41.9,48.5,5.4,-16.0
2022-05-10,-19.0,41.4,53.6,-4.9,-14.3
2022-05-11,-12.9,40.8,50.1,1.0,-2.2
2022-05-12,-13.5,42.2,48.8,4.8,-7.6
2022-05-13,-18.3,41.9,49.1,0.8,-10.1
2022-05-16,-21.8,45.6,53.0,0.9,-4.1
2022-05-17,-22.6,44.2,53.8,-11.9,-2.6
2022-05-18,-10.8,43.4,52.4,0.9,-1.0
2022-05-19,-11.3,42.5,50.7,-8.3,0.0
2022-05-20,-2.2,38.9,47.0,-6.7,2.6
2022-05-23,5.2,37.1,44.8,0.1,1.5
2022-05-24,6.5,37.8,44.0,8.7,-0.9
2022-05-25,-1.4,42.0,46.3,-3.8,0.7
2022-05-26,-15.8,33.0,46.8,-23.6,-6.3
2022-05-27,6.4,34.1,46.7,4.0,0.8
2022-05-30,4.0,34.4,47.3,3.2,-1.8
2022-05-31,1.0,35.2,49.3,-12.7,11.3
2022-06-02,15.3,35.2,50.9,19.1,-4.1
2022-06-03,13.2,37.1,48.3,25.8,-10.2
2022-06-07,13.0,43.3,50.1,19.1,-27.4
2022-06-08,13.8,43.4,42.5,20.1,-19.2
2022-06-09,14.0,38.7,38.4,-12.8,4.3
2022-06-10,13.9,39.5,34.9,-2.7,-0.3
2022-06-13,6.3,47.8,48.5,8.5,-1.1
2022-06-14,-0.1,46.7,50.3,7.5,-5.8
2022-06-15,-7.8,39.9,46.7,1.4,-9.0
2022-06-16,-11.9,39.5,52.2,-2.6,-5.2
2022-06-17,-9.0,39.2,51.4,1.5,-1.7
2022-06-20,-9.5,35.9,42.7,4.2,-3.2
2022-06-21,-10.9,34.5,35.8,2.7,-3.5
2022-06-22,-10.8,37.5,34.7,1.0,-3.3
2022-06-23,-10.5,39.9,39.1,-0.0,0.4
2022-06-24,-8.1,38.2,33.4,-11.0,9.2
2022-06-27,3.7,38.1,30.1,-0.8,7.5
2022-06-28,6.5,41.6,32.0,2.1,7.8
2022-06-29,4.6,39.0,31.1,2.0,5.8
2022-06-30,2.5,38.3,21.7,-82.0,58.7
2022-07-01,87.2,36.0,17.8,103.0,-2.7
2022-07-04,-18.8,34.8,11.5,25.8,-9.0
2022-07-05,-43.5,31.5,6.1,-29.2,-6.8
2022-07-06,-11.3,33.0,7.3,1.6,-1.3
2022-07-07,-12.1,29.9,6.6,9.6,-0.9
2022-07-08,-23.0,27.6,0.6,3.7,-1.8
2022-07-11,-27.7,25.2,0.3,-14.6,7.0
2022-07-12,-10.7,29.8,3.1,-2.3,8.2
2022-07-13,-30.1,31.8,6.6,-26.3,-20.9
2022-07-14,-31.5,39.0,4.5,1.1,-5.4
2022-07-15,-23.5,37.7,6.1,6.9,-7.3
2022-07-18,-15.3,38.0,1.5,1.4,-7.9
2022-07-19,-13.7,38.2,4.5,-2.4,-5.4
2022-07-20,-10.5,41.9,8.2,6.9,-7.7
2022-07-21,-14.3,42.1,10.0,-10.7,-4.4
2022-07-22,1.3,39.3,9.0,6.7,-6.2
2022-07-25,-3.7,36.5,4.7,-0.2,-6.7
2022-07-26,-1.4,34.0,2.6,4.3,-2.6
