date,implied_ye_rate,prob_0528,prob_0716,prob_0827,prob_1022,prob_1126
2026-05-04,2.919,0.566,0.454,0.051,0,0.828
2026-05-06,2.902,0.502,0.444,0.099,0,0.749
2026-05-07,2.812,0.178,0.456,0.239,0,0.609
2026-05-08,2.793,0.132,0.495,0.279,0,0.572
2026-05-11,2.757,0.034,0.535,0.391,0,0.421
2026-05-12,2.816,0,0.462,0.423,0,0.558
2026-05-13,2.858,0.249,0.508,0.337,0,0.547
2026-05-14,2.884,0.208,0.476,0.376,0,0.571
2026-05-15,2.901,0.332,0.555,0.373,0,0.548
2026-05-18,2.87,0.297,0.551,0.414,0,0.447
2026-05-19,2.984,0.36,0.467,0.385,0.082,0.641
2026-05-20,2.961,0.334,0.474,0.402,0.036,0.598
2026-05-21,2.938,0.293,0.466,0.42,0.021,0.554
2026-05-22,2.96,0.338,0.419,0.359,0.095,0.63
2026-05-26,2.951,0.25,0.34,0.369,0.233,0.611
2026-05-27,2.916,0.197,0.335,0.389,0.187,0.556
2026-05-28,2.995,,0.888,0.135,0.175,0.784
2026-05-29,2.952,,0.36,0.345,0.358,0.747
2026-06-01,2.989,,0.778,0.192,0.198,0.785
2026-06-02,2.994,,0.892,0.166,0.149,0.768
2026-06-04,3.03,,0.863,0.272,0.211,0.772
2026-06-05,3.025,,0.741,0.259,0.261,0.837
2026-06-08,3.078,,0.765,0.233,0.34,0.972
2026-06-09,3.124,,0.909,0.136,0.35,1
2026-06-10,3.765,,1,0.206,1,1
2026-06-11,3.594,,1,0.506,1,1
2026-06-12,3.563,,1,0.522,1,1
2026-06-15,3.458,,1,0.656,0.986,1
2026-06-16,3.422,,1,0.748,0.897,0.995
2026-06-17,3.393,,0.936,0.752,0.903,0.981
2026-06-18,3.42,,0.906,0.881,0.984,0.91
2026-06-19,3.438,,0.956,0.919,0.981,0.895
2026-06-22,3.442,,0.83,0.827,1,1
2026-06-23,3.441,,0.818,0.682,0.998,1
2026-06-24,3.424,,0.948,0.589,0.857,1
2026-06-25,3.415,,0.986,0.543,0.799,1
2026-06-26,3.403,,0.956,0.539,0.794,1
2026-06-29,3.381,,0.981,0.533,0.713,1
2026-06-30,3.304,,0.575,0.427,0.825,1
2026-07-01,3.441,,1,0.502,0.574,1
2026-07-02,3.51,,1,0.626,0.568,1
2026-07-03,3.487,,1,0.595,0.534,1
2026-07-06,3.461,,1,0.611,0.549,1
2026-07-07,3.461,,1,0.626,0.543,1
2026-07-08,3.466,,1,0.658,0.598,1
2026-07-09,3.407,,0.808,0.581,0.776,1
2026-07-10,3.366,,0.646,0.564,0.828,1
2026-07-13,3.338,,0.556,0.524,0.812,1
2026-07-14,3.371,,0.545,0.59,0.899,1
2026-07-15,3.357,,0.494,0.588,0.917,1
2026-07-16,3.43,,,0.197,1,1
2026-07-20,3.39,,,0.34,0.753,1
2026-07-21,3.393,,,0.576,0.572,1
2026-07-22,3.394,,,0.592,0.514,1
2026-07-23,3.386,,,0.653,0.407,1
2026-07-24,3.383,,,0.634,0.365,1
2026-07-27,3.33,,,0.444,0.367,1
2026-07-28,3.347,,,0.51,0.419,1
2026-07-29,3.336,,,0.283,0.605,1
2026-07-30,3.336,,,0.272,0.621,1
2026-07-31,3.316,,,0,0.789,1
2026-08-03,3.329,,,0.121,0.785,1
2026-08-04,3.323,,,0.483,0.501,1
2026-08-05,3.325,,,0.512,0.527,1
2026-08-06,3.275,,,0.307,0.514,1
2026-08-07,3.255,,,0.256,0.483,1
2026-08-10,3.241,,,0.23,0.505,1
2026-08-11,3.17,,,0.338,0.229,1
2026-08-12,3.157,,,0.3,0.275,1
2026-08-13,3.127,,,0.376,0.176,0.956
2026-08-14,3.096,,,0.341,0.125,0.92
2026-08-18,3.069,,,0.312,0.117,0.849
2026-08-19,3.07,,,0.327,0.135,0.817
2026-08-20,3.073,,,0.352,0.161,0.779
2026-08-21,3.073,,,0.337,0.186,0.768
2026-08-24,3.043,,,0.265,0.165,0.742
2026-08-25,3.028,,,0.247,0.146,0.719
2026-08-26,3.039,,,0.231,0.186,0.741
2026-08-27,3.123,,,,1,0
