STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198601,29.337
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198602,29.337
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198603,29.381
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198604,29.161
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198605,29.03
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198606,28.898
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198607,28.81
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198608,28.81
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198609,28.81
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198610,28.81
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198611,28.634
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198612,28.547
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198701,28.503
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198702,28.459
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198703,28.415
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198704,28.459
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198705,28.459
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198706,28.459
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198707,28.503
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198708,28.634
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198709,29.732
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198710,30.172
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198711,30.523
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198712,30.567
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198801,30.962
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198802,31.709
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198803,32.499
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198804,33.158
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198805,33.465
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198806,33.729
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198807,34.08
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198808,34.915
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198809,34.827
901Y062,4.4.1.1. 주택매매가격지수(KB),P63A,총지수,,,,,,,2026.01=100,,198810,34.783
