STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198601,12.066
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198602,12.087
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198603,12.066
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198604,11.983
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198605,11.92
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198606,11.794
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198607,11.753
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198608,11.753
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198609,11.773
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198610,11.732
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198611,11.606
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198612,11.46
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198701,11.46
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198702,11.418
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198703,11.355
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198704,11.272
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198705,11.272
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198706,11.23
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198707,11.23
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198708,11.334
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198709,11.669
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198710,11.836
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198711,11.983
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198712,12.004
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198801,12.234
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198802,12.694
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198803,12.986
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198804,13.258
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198805,13.405
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198806,13.467
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198807,13.927
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198808,14.429
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198809,14.262
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198810,14.157
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198811,13.927
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198812,14.22
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198901,14.764
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198902,15.747
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198903,16.332
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198904,17.441
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198905,17.252
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198906,16.897
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198907,16.625
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198908,16.625
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198909,16.562
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198910,16.813
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198911,16.897
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,198912,16.897
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199001,17.315
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199002,18.361
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199003,19.114
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199004,20.452
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199005,20.724
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199006,20.891
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199007,21.038
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199008,21.372
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199009,22.167
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199010,22.648
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199011,23.275
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199012,23.254
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199101,23.61
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199102,24.133
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199103,24.99
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199104,25.764
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199105,25.471
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199106,25.011
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199107,24.906
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199108,24.76
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199109,24.425
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199110,24.028
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199111,22.982
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199112,22.209
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199201,22.167
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199202,22.125
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199203,22.125
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199204,21.958
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199205,21.456
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199206,20.975
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199207,20.87
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199208,21.309
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199209,21.749
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199210,21.623
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199211,21.477
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199212,21.247
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199301,21.33
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199302,21.665
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199303,21.602
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199304,21.414
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199305,21.205
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199306,20.954
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199307,20.891
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199308,20.849
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199309,20.787
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199310,20.745
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199311,20.724
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199312,20.661
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199401,20.703
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199402,20.828
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199403,20.849
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199404,20.828
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199405,20.787
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199406,20.766
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199407,20.766
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199408,20.787
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199409,20.912
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199410,20.912
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199411,20.912
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199412,20.912
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199501,20.912
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199502,20.933
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199503,20.975
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199504,21.058
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199505,20.975
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199506,20.975
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199507,20.954
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199508,21.038
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199509,21.058
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199510,20.975
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199511,20.933
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199512,20.912
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199601,20.975
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199602,21.017
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199603,21.038
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199604,21.038
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199605,21.017
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199606,21.017
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199607,21.038
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199608,21.142
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199609,21.414
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199610,21.456
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199611,21.56
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199612,21.79
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199701,22.48
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199702,22.899
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199703,22.836
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199704,22.794
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199705,22.731
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199706,22.731
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199707,22.731
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199708,22.857
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199709,23.129
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199710,23.129
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199711,23.024
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199712,22.92
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199801,22.606
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199802,22.104
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199803,21.268
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199804,20.264
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199805,19.511
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199806,19.176
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199807,19.344
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199808,19.616
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199809,19.448
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199810,19.093
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199811,18.925
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199812,19.574
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199901,20.18
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199902,20.264
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199903,20.41
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199904,20.515
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199905,20.682
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199906,20.828
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199907,21.163
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199908,21.644
901Y062,4.4.1.1. 주택매매가격지수(KB),P63ACA,아파트(서울),,,,,,,2026.01=100,,199909,22.041
