STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196406,3.86
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196407,3.87
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196408,3.85
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196409,3.87
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196410,3.94
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196411,3.99
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196412,4.14
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196501,4.13
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196502,4.19
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196503,4.27
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196504,4.28
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196505,4.32
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196506,4.31
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196507,4.29
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196508,4.3
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196509,4.34
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196510,4.46
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196511,4.49
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196512,4.75
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196601,4.95
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196602,5.05
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196603,5.19
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196604,5.26
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196605,5.38
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196606,5.5
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196607,5.62
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196608,5.72
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196609,5.86
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196610,5.83
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196611,5.79
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196612,5.65
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196701,5.4
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196702,5.18
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196703,5.01
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196704,4.43
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196705,4.49
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196706,4.66
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196707,5
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196708,4.93
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196709,4.91
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196710,5.22
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196711,5.4
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196712,5.62
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196801,5.48
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196802,5.33
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196803,5.58
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196804,5.78
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196805,6.14
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196806,6.12
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196807,6.03
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196808,5.85
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196809,5.78
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196810,5.9
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196811,6.05
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196812,6.27
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196901,6.5
902Y023,9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,,,,,%,,196902,6.52
