status,slug,category,description,stat_code,cycle,items,rows,first_time,last_time,downloaded_at_utc,relative_path,sha256,error
ok,bok_policy_rate_monthly,rates,한국은행 기준금리,722Y001,M,0101000,327,199905,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\bok_policy_rate_monthly.csv,5faa78361e904faa64545268806ee8eb65b17889b41ac4034835a22d384800e5,
ok,unsecured_call_overnight_monthly,rates,"무담보 콜금리(1일, 중개거래)",721Y001,M,1010200,427,199101,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\unsecured_call_overnight_monthly.csv,02f9cfc7b44102e07c16b06a79eb58b982b15623f3a40d48a4a886177db6c95d,
ok,cd_91d_monthly,rates,CD 91일 금리,721Y001,M,2010000,425,199103,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\cd_91d_monthly.csv,7ba4f69aa46ef58e4f622381e4a99cb9ad6a9b1273eec8970473dd98bda6fd46,
ok,msb_91d_monthly,rates,통안증권 91일 금리,721Y001,M,6010300,239,200609,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\msb_91d_monthly.csv,d9bf3b09d9bba88c95eca62eb040c4b5534323d53274d5850801f2f519481df7,
ok,msb_1y_monthly,rates,통안증권 1년 금리,721Y001,M,6010100,475,198701,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\msb_1y_monthly.csv,d829305ebeef5c65786e880146e771e462d5a9e8825031c6f6c320e80a207017,
ok,msb_2y_monthly,rates,통안증권 2년 금리,721Y001,M,6010200,329,199903,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\msb_2y_monthly.csv,297c4e76da3cd89a17b1d9d2f74eac12c99a565fae5baea052b302caa73a592e,
ok,ktb_1y_monthly,rates,국고채 1년 금리,721Y001,M,5030000,318,200002,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\ktb_1y_monthly.csv,79a94f63393db069fe08031fc2be451b40bd1b36c4f8a82b3d3c0bd1024664a3,
ok,ktb_2y_monthly,rates,국고채 2년 금리,721Y001,M,5090000,65,202103,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\ktb_2y_monthly.csv,b70d884290518a2f6e8236a06967694d84bb8b662d015152304e472692fae139,
ok,ktb_3y_monthly,rates,국고채 3년 금리,721Y001,M,5020000,375,199505,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\ktb_3y_monthly.csv,b40a967a76847d087d793528fd08ccb661a2adc94b7da135362d7c47d28a2f83,
ok,ktb_5y_monthly,rates,국고채 5년 금리,721Y001,M,5040000,375,199505,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\ktb_5y_monthly.csv,9b11b95da6724825996a45efdccf943bc042223dcfd20953d0067bfad71c32c6,
ok,ktb_10y_monthly,rates,국고채 10년 금리,721Y001,M,5050000,310,200010,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\ktb_10y_monthly.csv,4a64b4331f9047cada6d95f7809898fde7452157e7854252cd57b4d2c4144b2f,
ok,corporate_aa_minus_3y_monthly,rates,회사채 3년 AA- 금리; 신용·유동성 통제용,721Y001,M,7020000,475,198701,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\corporate_aa_minus_3y_monthly.csv,a6522ae8904e54fdc9673d38f90d4ff5639467afb3db598a9e4141ea43dfe2e3,
ok,kofr_daily,rates,KOFR 공시 무위험지표금리,817Y002,D,010901000,1153,20211125,20260805,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\rates\kofr_daily.csv,ed8d839e53e8cfc6a5359433baf6fc7c2261d8cf2f5b32cd16bdce8f08f9ebe3,
ok,cpi_headline_monthly,inflation,소비자물가지수 총지수,901Y009,M,0,739,196501,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\inflation\cpi_headline_monthly.csv,593b482bed2022413c829a44e2a5b958b899f23fc9fd334b362486860ae5b1b4,
ok,cpi_core_ex_agri_oil_monthly,inflation,농산물 및 석유류 제외 소비자물가지수,901Y010,M,QB,619,197501,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\inflation\cpi_core_ex_agri_oil_monthly.csv,bbf5c63908801b25dd458da92068f3e3f2fe53347c809caa42ea41bd950debfb,
ok,cpi_core_ex_food_energy_monthly,inflation,식료품 및 에너지 제외 소비자물가지수,901Y010,M,DB,439,199001,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\inflation\cpi_core_ex_food_energy_monthly.csv,47aca1c19fd1d641550833dc623ab040bcb40e71b09db69533934af68e849577,
ok,expected_inflation_1y_monthly,inflation,향후 1년 기대인플레이션율,511Y003,M,FMB,294,200202,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\inflation\expected_inflation_1y_monthly.csv,78be12a368f4bc8442128f8c4148b48a7f4120a8ea704272ce759833518ea331,
ok,all_industry_production_monthly,activity,"전산업생산지수(농림어업 제외, 계절조정)",901Y033,M,A00|2,318,200001,202606,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\activity\all_industry_production_monthly.csv,af028d5d24da0e9dc1d6b86d2fd1a2cad3757444d1d8c4ff0039bef276768cb4,
ok,economic_sentiment_cycle_monthly,activity,경제심리지수 순환변동치,513Y001,M,E2000,283,200301,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\activity\economic_sentiment_cycle_monthly.csv,8586244fd632bd8cca418cd0fc50a812cccd72b72f79b4486846094936a89c43,
ok,exports_value_monthly,activity,수출금액,901Y118,M,T002,318,200001,202606,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\activity\exports_value_monthly.csv,43a56bc287412aa5134fbc79fa1a9c4311c994563fbdb1a677f9c227821508fa,
ok,real_gdp_sa_quarterly,activity,계절조정 실질 GDP,200Y104,Q,1400,266,1960Q1,2026Q2,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\activity\real_gdp_sa_quarterly.csv,dccafda6a3a62af2423c5b066adec7877f2c518c9fac02c0f70dd19b1294885a,
ok,usdkrw_reference_monthly,fx_global,원/미국달러 매매기준율 월평균,731Y004,M,0000001|0000100,747,196405,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\fx_global\usdkrw_reference_monthly.csv,e0858f40205d8f9bcfe8d856484421c8bca50fb7e31dac39fd28138be6927624,
ok,us_policy_rate_monthly,fx_global,미국 중앙은행 정책금리,902Y006,M,US,864,195407,202606,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\fx_global\us_policy_rate_monthly.csv,3a72028840fee8e34a5725627b045c89ccb855244fb6d20481fc13b4ba9749a1,
ok,us_short_rate_monthly,fx_global,미국 단기금리,902Y023,M,IR3TIB|USA,744,196406,202606,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\fx_global\us_short_rate_monthly.csv,75f1e9f1e4f8ec1fc6b7fb1d61c9ec01533c57c77c3c3684d98c8c9470a8efa3,
ok,us_long_rate_monthly,fx_global,미국 장기금리,902Y023,M,IRLT|USA,879,195304,202606,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\fx_global\us_long_rate_monthly.csv,7f2d978a4b45e364bb3a48abc3f42058d88231be045d3b491d2ce2739c9ff8d1,
ok,kb_housing_price_total_monthly,financial_stability,KB 주택매매가격지수 총지수,901Y062,M,P63A,487,198601,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\financial_stability\kb_housing_price_total_monthly.csv,bcd73ac17f9c2603e14b86cb88f47b082390dbf7517bc21fba930604cb2f8ac7,
ok,kb_seoul_apartment_price_monthly,financial_stability,KB 서울 아파트 매매가격지수,901Y062,M,P63ACA,487,198601,202607,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\financial_stability\kb_seoul_apartment_price_monthly.csv,0510d60c5454b62f81cbeade67caca829a1377c0edecc41ff78f2d5c4345a141,
ok,household_credit_quarterly,financial_stability,가계신용 잔액,151Y001,Q,1000000,94,2002Q4,2026Q1,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\financial_stability\household_credit_quarterly.csv,0d1b66e7e3c43aca0e51dd1933c9e047178da5bc2abc68e1bfd147f25891c791,
ok,korea_unemployment_monthly,activity,한국 실업률(계절조정),902Y021,M,KOR,438,199001,202606,2026-08-07T08:58:53.549610+00:00,rawdata\ecos\activity\korea_unemployment_monthly.csv,f1adee0f1e882d5ea35a566e3c5a20feb6c523a7c4d80d091c3e43b034d71d78,
