STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200609,4.55
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200610,4.56
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200611,4.58
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200612,4.65
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200701,4.8
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200702,4.85
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200703,4.85
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200704,4.9
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200705,4.95
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200706,4.91
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200707,4.96
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200708,5.06
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200709,5.17
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200710,5.16
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200711,5.16
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200712,5.2
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200801,5.27
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200802,4.99
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200803,4.98
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200804,5.05
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200805,5.06
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200806,5.13
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200807,5.23
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200808,5.36
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200809,5.35
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200810,5.22
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200811,4.52
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200812,3.33
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200901,2.26
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200902,1.9
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200903,1.74
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200904,1.87
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200905,2.09
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200906,2.15
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200907,2.1
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200908,2.27
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200909,2.33
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200910,2.29
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200911,2.16
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,200912,2.31
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201001,2.37
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201002,2.32
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201003,2.18
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201004,2.15
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201005,2.15
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201006,2.14
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201007,2.33
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201008,2.47
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201009,2.5
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201010,2.48
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201011,2.54
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201012,2.66
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201101,2.8
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201102,3.1
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201103,3.26
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201104,3.32
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201105,3.35
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201106,3.34
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201107,3.42
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201108,3.42
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201109,3.3
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201110,3.37
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201111,3.42
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201112,3.47
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201201,3.44
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201202,3.42
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201203,3.48
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201204,3.4
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201205,3.37
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201206,3.29
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201207,3.03
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201208,2.84
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201209,2.86
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201210,2.81
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201211,2.79
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201212,2.79
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201301,2.72
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201302,2.68
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201303,2.6
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201304,2.63
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201305,2.59
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201306,2.58
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201307,2.52
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201308,2.56
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201309,2.57
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201310,2.56
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201311,2.575
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201312,2.574
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201401,2.55
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201402,2.543
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201403,2.578
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201404,2.581
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201405,2.578
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201406,2.564
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201407,2.492
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201408,2.389
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201409,2.246
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201410,2.116
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201411,2.016
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201412,2.057
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201501,1.992
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201502,1.982
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201503,1.832
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201504,1.702
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201505,1.72
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201506,1.604
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201507,1.547
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201508,1.532
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201509,1.527
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201510,1.525
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201511,1.57
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201512,1.564
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201601,1.52
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201602,1.465
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201603,1.502
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201604,1.505
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201605,1.487
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201606,1.353
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201607,1.251
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201608,1.256
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201609,1.302
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201610,1.345
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201611,1.42
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201612,1.422
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201701,1.335
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201702,1.321
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201703,1.34
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201704,1.311
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201705,1.283
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201706,1.286
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201707,1.277
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201708,1.262
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201709,1.262
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201710,1.334
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201711,1.432
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201712,1.538
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201801,1.535
721Y001,"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),,,,,,,연%,,201802,1.535
