date,call_overnight,cd_91d,cp_91d,msb_91d,msb_1y,msb_2y,ktb_1y,ktb_2y,ktb_3y,ktb_5y,ktb_10y,ktb_20y,ktb_30y,corp_aa_minus_3y,kofr,bok_policy_rate
1995-01-03,13.06,14.7,15.37,,13.85,,,,,,,,,14.25,,
1995-01-04,11.63,14.47,15.37,,13.85,,,,,,,,,14.3,,
1995-01-05,10.61,14.67,15.37,,13.85,,,,,,,,,14.42,,
1995-01-06,9.28,14.83,15.37,,13.85,,,,,,,,,14.45,,
1995-01-07,10.78,14.74,15.37,,13.85,,,,,,,,,14.45,,
1995-01-09,12.06,14.75,15.58,,13.85,,,,,,,,,14.45,,
1995-01-10,12.61,14.88,15.58,,13.85,,,,,,,,,14.47,,
1995-01-11,13.2,15.2,15.69,,13.85,,,,,,,,,14.5,,
1995-01-12,13.98,15.89,16.12,,13.85,,,,,,,,,14.67,,
1995-01-13,14.87,16.3,16.56,,13.9,,,,,,,,,15,,
1995-01-14,17.47,16.4,16.56,,13.95,,,,,,,,,15,,
1995-01-16,18.37,16.55,17.21,,13.95,,,,,,,,,15.1,,
1995-01-17,15.35,15.9,16.66,,13.95,,,,,,,,,15.1,,
1995-01-18,15.13,15.8,16.66,,13.95,,,,,,,,,15.1,,
1995-01-19,14.92,16.05,16.66,,13.95,,,,,,,,,15.1,,
1995-01-20,15.67,15.8,16.88,,13.95,,,,,,,,,15.08,,
1995-01-21,15.2,15.8,16.88,,13.95,,,,,,,,,15.08,,
1995-01-23,16.43,16,17.1,,14,,,,,,,,,15.2,,
1995-01-24,21.21,16.5,17.75,,14,,,,,,,,,15.2,,
1995-01-25,21.34,16.7,18.3,,14,,,,,,,,,15.2,,
1995-01-26,22.41,16.5,18.41,,14,,,,,,,,,15.2,,
1995-01-27,20.42,16.54,18.41,,14,,,,,,,,,15.2,,
1995-01-28,21.26,16.54,18.41,,14,,,,,,,,,15.2,,
1995-02-02,21.82,16.54,18.52,,14,,,,,,,,,15.23,,
1995-02-03,22.49,16.75,18.52,,14,,,,,,,,,15.23,,
1995-02-04,17.36,16.67,18.52,,14,,,,,,,,,15.25,,
1995-02-06,13.65,16.3,18.3,,14,,,,,,,,,15.25,,
1995-02-07,15.07,16.27,18.3,,14.05,,,,,,,,,15.25,,
1995-02-08,17.05,16.7,18.52,,14.05,,,,,,,,,15.25,,
1995-02-09,16.31,16.9,18.52,,14.05,,,,,,,,,15.25,,
1995-02-10,16.26,17,18.19,,14.05,,,,,,,,,15.3,,
1995-02-11,15.88,16.85,18.19,,14.05,,,,,,,,,15.3,,
1995-02-13,15.58,16.8,18.19,,14.05,,,,,,,,,15.32,,
1995-02-14,15.26,16.9,18.08,,14.05,,,,,,,,,15.35,,
1995-02-15,15.44,16.89,18.08,,14.05,,,,,,,,,15.35,,
1995-02-16,15.26,16.91,18.08,,14.1,,,,,,,,,15.4,,
1995-02-17,13.53,16.9,17.97,,14.2,,,,,,,,,15.4,,
1995-02-18,12.78,16.68,17.97,,14.2,,,,,,,,,15.4,,
1995-02-20,11.48,16,17.86,,14.2,,,,,,,,,15.4,,
1995-02-21,11.66,16.4,17.75,,14.2,,,,,,,,,15.4,,
1995-02-22,11.9,16.5,17.75,,14.2,,,,,,,,,15.3,,
1995-02-23,13.2,16.64,17.75,,14.2,,,,,,,,,15.4,,
1995-02-24,13.49,16.7,17.53,,14.2,,,,,,,,,15.4,,
1995-02-25,14.11,16.66,17.53,,14.2,,,,,,,,,15.4,,
1995-02-27,15.57,16.4,17.64,,14.2,,,,,,,,,15.4,,
1995-02-28,15.52,16.5,17.64,,14.2,,,,,,,,,15.45,,
1995-03-02,14.43,16.4,17.64,,14.2,,,,,,,,,15.5,,
1995-03-03,13.32,16.29,17.53,,14.2,,,,,,,,,15.5,,
1995-03-04,11.21,16.25,17.53,,14.2,,,,,,,,,15.5,,
1995-03-06,11.11,16,17.43,,14.2,,,,,,,,,15.49,,
1995-03-07,11.45,15.95,17.1,,14.2,,,,,,,,,15.45,,
1995-03-08,12.22,15.85,16.66,,14.2,,,,,,,,,15.35,,
1995-03-09,12.42,15.7,16.34,,14.2,,,,,,,,,15.3,,
1995-03-10,12.59,15.6,16.23,,14.2,,,,,,,,,15.3,,
1995-03-11,12.53,15.56,16.23,,14.2,,,,,,,,,15.3,,
1995-03-13,12.53,15.5,16.12,,14.2,,,,,,,,,15.3,,
1995-03-14,12.08,15.55,16.01,,14.2,,,,,,,,,15.3,,
1995-03-15,12.07,15.65,16.01,,14.2,,,,,,,,,15.25,,
1995-03-16,11.65,15.46,16.01,,14.2,,,,,,,,,15.2,,
1995-03-17,11.18,15.2,15.8,,14.2,,,,,,,,,15.1,,
1995-03-18,10.96,15,15.8,,14.2,,,,,,,,,15,,
1995-03-20,10.87,14.6,15.37,,14.2,,,,,,,,,14.8,,
1995-03-21,10.81,14.8,15.26,,14.2,,,,,,,,,14.8,,
1995-03-22,10.23,14.75,15.26,,14.2,,,,,,,,,14.8,,
1995-03-23,11.75,14.78,15.26,,14.2,,,,,,,,,14.6,,
1995-03-24,12.58,14.9,15.26,,14.2,,,,,,,,,14.45,,
1995-03-25,13.33,14.9,15.26,,14.2,,,,,,,,,14.45,,
1995-03-27,13.27,15.04,15.26,,14.2,,,,,,,,,14.5,,
1995-03-28,13.16,15.05,15.26,,14.2,,,,,,,,,14.5,,
1995-03-29,12.85,14.85,15.26,,14.2,,,,,,,,,14.4,,
1995-03-30,12.4,14.5,15.04,,14.2,,,,,,,,,14.2,,
1995-03-31,12.19,14.4,14.94,,14.2,,,,,,,,,14.2,,
1995-04-01,11.46,14.3,14.94,,,,,,,,,,,14.2,,
1995-04-03,11.26,14.15,14.72,,14.2,,,,,,,,,14.2,,
1995-04-04,11.38,14.15,14.51,,14.2,,,,,,,,,14.28,,
1995-04-06,11.88,14.3,14.61,,14.2,,,,,,,,,14.53,,
1995-04-07,11.73,14.4,14.72,,14.2,,,,,,,,,14.65,,
1995-04-08,12.51,14.4,14.72,,,,,,,,,,,14.65,,
1995-04-10,13.66,14.5,15.04,,14.2,,,,,,,,,14.75,,
1995-04-11,14.14,15,15.26,,14.2,,,,,,,,,14.9,,
1995-04-12,13.41,15.1,15.58,,14.2,,,,,,,,,14.98,,
1995-04-13,12.47,14.7,15.26,,14.2,,,,,,,,,14.8,,
1995-04-14,12.18,14.55,14.94,,14.2,,,,,,,,,14.6,,
1995-04-15,11.71,14.31,14.72,,,,,,,,,,,14.5,,
1995-04-17,11.39,14.35,14.72,,14.2,,,,,,,,,14.5,,
1995-04-18,11.23,14.55,14.83,,14.2,,,,,,,,,14.64,,
1995-04-19,11.53,14.6,14.94,,14.2,,,,,,,,,14.65,,
1995-04-20,11.55,14.55,15.04,,14.2,,,,,,,,,14.7,,
1995-04-21,11.96,14.6,15.04,,14.2,,,,,,,,,14.85,,
1995-04-22,11.78,14.6,15.04,,,,,,,,,,,14.9,,
1995-04-24,12.97,14.55,15.04,,14.2,,,,,,,,,14.85,,
1995-04-25,13.66,14.64,15.1,,14.2,,,,,,,,,14.85,,
1995-04-26,14.12,14.8,15.15,,14.2,,,,,,,,,14.85,,
1995-04-27,14.06,14.8,15.15,,14.2,,,,,,,,,14.8,,
1995-04-28,13.95,14.7,15.04,,14.2,,,,,,,,,14.7,,
1995-04-29,14.38,14.7,15.04,,,,,,,,,,,14.7,,
1995-05-02,13.89,14.65,15.04,,14.2,,,,,,,,,14.8,,
1995-05-03,13.87,14.65,15.04,,14.2,,,,,,,,,14.88,,
1995-05-04,14.06,14.7,15.15,,14.2,,,,,,,,,14.84,,
1995-05-06,13.23,14.68,15.15,,,,,,,,,,,14.75,,
1995-05-08,13.76,14.8,15.15,,14.2,,,,,,,,,14.8,,
1995-05-09,13.64,14.8,15.15,,14.2,,,,,,,,,14.8,,
1995-05-10,14.12,14.75,15.26,,14.2,,,,,,,,,14.82,,
1995-05-11,14.55,14.85,15.37,,14.2,,,,,,,,,14.87,,
1995-05-12,14.56,14.95,15.37,,14.2,,,,,,,,,14.91,,
1995-05-13,14.31,14.95,15.37,,,,,,,,,,,14.91,,
1995-05-15,14.32,15,15.58,,14.2,,,,,,,,,14.97,,
1995-05-16,14.01,14.85,15.58,,14.2,,,,,,,,,14.92,,
1995-05-17,13.57,14.8,15.47,,14.2,,,,,,,,,14.9,,
1995-05-18,12.77,14.85,15.37,,14.2,,,,,,,,,14.9,,
1995-05-19,12.08,14.85,15.37,,14.2,,,,,,,,,14.89,,
1995-05-20,11.92,14.85,15.37,,,,,,,,,,,14.89,,
1995-05-22,11.44,14.8,15.37,,14.2,,,,,,,,,14.9,,
1995-05-23,12.92,14.87,15.47,,14.2,,,,,,,,,14.9,,
1995-05-24,12.95,14.95,15.47,,14.2,,,,,,,,,14.95,,
1995-05-25,13.35,15.05,15.47,,14.2,,,,,,,,,15,,
1995-05-26,13.96,15.25,15.69,,14.2,,,,,,,,,15,,
1995-05-27,13.86,15.25,15.69,,,,,,,,,,,15,,
1995-05-29,13.96,15.06,15.69,,14.2,,,,,,,,,15,,
1995-05-30,13.38,14.85,15.53,,14.2,,,,,,,,,15,,
1995-05-31,13.39,14.8,15.53,,14.2,,,,,,,,,14.97,,
1995-06-01,12.52,14.78,15.37,,14.2,,,,,,,,,14.93,,
1995-06-02,11.6,14.7,15.26,,14.2,,,,,,,,,14.87,,
1995-06-03,10.23,14.6,15.26,,,,,,,,,,,14.79,,
1995-06-05,10.3,14.5,15.15,,14.2,,,,,,,,,14.7,,
1995-06-07,10.99,14.5,15.04,,14.2,,,,,,,,,14.7,,
1995-06-08,11.67,14.7,15.04,,14.2,,,,,,,,,14.7,,
1995-06-09,12,14.55,14.99,,14.2,,,,,,,,,14.63,,
1995-06-10,11.78,14.5,14.99,,,,,,,,,,,14.58,,
1995-06-12,11.75,14.45,14.83,,14.2,,,,,,,,,14.49,,
1995-06-13,11.98,14.63,14.83,,14.2,,,,,,,,,14.53,,
1995-06-14,12.39,14.65,14.94,,14.2,,,,,,,,,14.63,,
1995-06-15,13.19,14.8,15.04,,14.2,,,,,,,,,14.73,,
1995-06-16,13.2,14.7,15.04,,14.2,,,,,,,,,14.63,,
1995-06-17,12.02,14.7,15.04,,,,,,,,,,,14.63,,
1995-06-19,11.8,14.65,14.94,,14.2,,,,,,,,,14.61,,
1995-06-20,12.12,14.75,14.99,,14.2,,,,,,,,,14.64,,
1995-06-21,12.4,14.85,15.04,,14.2,,,,,,,,,14.67,,
1995-06-22,13.24,14.85,15.15,,14.2,,,,,,,,,14.7,,
1995-06-23,14.2,14.85,15.21,,14.2,,,,,,,,,14.63,,
1995-06-24,14.71,14.85,15.21,,,,,,,,,,,14.62,,
1995-06-26,14.87,14.9,15.31,,14.2,,,,,,,,,14.68,,
1995-06-28,15.05,15.05,15.37,,14.2,,,,,,,,,14.68,,
1995-06-29,15.51,15.05,15.47,,14.2,,,,,,,,,14.66,,
1995-06-30,15.37,15.05,15.37,,14.2,,,,,,,,,14.66,,
1995-07-01,13.45,15,15.37,,,,,,,,,,,14.66,,
1995-07-03,12.1,14.8,15.15,,14.2,,,,,,,,,14.56,,
1995-07-04,10.51,14.6,15.04,,14.2,,,,,,,,,14.53,,
1995-07-05,10.22,14.5,14.83,,14.2,,,,,,,,,14.48,,
1995-07-06,10.2,14.35,14.83,,14.2,,,,,,,,,14.39,,
1995-07-07,10.5,14.3,14.83,,14.2,,,,,,,,,14.32,,
1995-07-08,10.77,14.35,14.83,,,,,,,,,,,14.42,,
1995-07-10,11.29,14.45,14.83,,14.2,,,,,,,,,14.36,,
1995-07-11,11.3,14.45,14.83,,14.2,,,,,,,,,14.33,,
1995-07-12,11.33,14.4,14.83,,14.2,,,,,,,,,14.15,,
1995-07-13,11.32,14.33,14.72,,14.2,,,,,,,,,14.1,,
1995-07-14,11.33,14.3,14.61,,14.2,,,,,,,,,14.05,,
1995-07-15,11.21,14.2,14.61,,,,,,,,,,,14.05,,
1995-07-18,10.78,13.9,14.51,,14.2,,,,,,,,,13.9,,
1995-07-19,10.41,13.85,14.29,,14.2,,,,,,,,,13.87,,
1995-07-20,10.37,13.95,14.29,,14.2,,,,,,,,,13.93,,
1995-07-21,10.33,14.1,14.29,,14.2,,,,,,,,,14.1,,
1995-07-22,9.98,14.1,14.4,,,,,,,,,,,14.1,,
1995-07-24,11.22,14.15,14.45,,14.2,,,,,,,,,14.1,,
