status,slug,category,description,stat_code,cycle,items,rows,first_time,last_time,downloaded_at_utc,relative_path,sha256,error
ok,call_overnight_daily,rates_daily,"무담보 콜금리(1일, 전체거래) 일별",817Y002,D,010101000,8028,1995-01-03,2026-08-26,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\call_overnight_daily.csv,56fce516d25177380387b0af625cf92ddf34761a6f5ea1f7d12101689ef5566f,
ok,cd_91d_daily,rates_daily,CD 91일 일별; 2023-10-04부터 실거래 기반 산출(일 1회 16:30 공시),817Y002,D,010502000,8029,1995-01-03,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\cd_91d_daily.csv,1f40e03c7213f574c1986e016c4eb74e6e2c463f7ab34a2123fd55fdc3bcb533,
ok,cp_91d_daily,rates_daily,CP 91일 일별; 신용 프리미엄 통제용,817Y002,D,010503000,8029,1995-01-03,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\cp_91d_daily.csv,5082951fcdf1ab61d87f308e2c1ef2a04010d980ade3eea1ee588b8b01a4cc67,
ok,msb_91d_daily,rates_daily,통안증권 91일 일별; 회의별 계단함수 모델 핵심 입력,817Y002,D,010400000,4931,2006-09-25,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\msb_91d_daily.csv,92abd4c4ab54f03b128d87a5cc09bc8b2f451bb70a8750ad00438e604aba776c,
ok,msb_1y_daily,rates_daily,통안증권 1년 일별,817Y002,D,010400001,7990,1995-01-03,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\msb_1y_daily.csv,ae422623bc98955afcafde1bc82c8790b2706bbfe35c57e96aaee11ed4773ddf,
ok,msb_2y_daily,rates_daily,통안증권 2년 일별,817Y002,D,010400002,6867,1999-02-10,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\msb_2y_daily.csv,02de8805379b8cb93c0430c7c0ea3b56cf813b52241c2c96afa276b12aef99ad,
ok,ktb_1y_daily,rates_daily,국고채 1년 일별,817Y002,D,010190000,6577,2000-02-01,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_1y_daily.csv,07b74eb757b0bbda7392e6c33fbf8d916775681d7dde61db01d505961fa7aa58,
ok,ktb_2y_daily,rates_daily,국고채 2년 일별,817Y002,D,010195000,1346,2021-03-10,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_2y_daily.csv,e5f634d004e4d9a33e27bd9948a95fa283b8d0b3b63f1214e7f0a925662d8265,
ok,ktb_3y_daily,rates_daily,국고채 3년 일별,817Y002,D,010200000,6886,1998-11-13,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_3y_daily.csv,097a12ec2b20ef9b0a7359d639949138b6ad383db28b3e8019e4e447c25b97e1,
ok,ktb_5y_daily,rates_daily,국고채 5년 일별,817Y002,D,010200001,6597,2000-01-04,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_5y_daily.csv,f0c30c50ddd6eda590e7b7475f4b0f5be73c9836e69adfe65ee3e8ef55add37c,
ok,ktb_10y_daily,rates_daily,국고채 10년 일별,817Y002,D,010210000,6362,2000-12-18,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_10y_daily.csv,481badf01e9295c746373c5a9709b8a686cee2d76bc0e2dbdaeedbc05bbd6bab,
ok,ktb_20y_daily,rates_daily,국고채 20년 일별,817Y002,D,010220000,5096,2006-01-25,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_20y_daily.csv,e88ee4130d01ad0ec262a4cbbddf339e9e354fa44db7e42233e2807a09b97457,
ok,ktb_30y_daily,rates_daily,국고채 30년 일별,817Y002,D,010230000,3441,2012-09-11,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\ktb_30y_daily.csv,d1363a301223125e10432527803bb8f89679ceda2cf3d2d0bcc3b083b417fdd5,
ok,corp_aa_minus_3y_daily,rates_daily,회사채 3년 AA- 일별; 신용 통제용,817Y002,D,010300000,8029,1995-01-03,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\corp_aa_minus_3y_daily.csv,673dd2d5b47fb8df99b15e786983bc8fb182ce178ab0d45d4a6ed168e0f21d1a,
ok,bok_policy_rate_daily,rates_daily,한국은행 기준금리 일별(변경일 반영),722Y001,D,0101000,6812,1999-05-06,2026-08-27,2026-08-28T00:38:12.378783+00:00,rawdata\ecos_daily\rates\bok_policy_rate_daily.csv,5d8a5b2b80a82524d63b9a2862a8a8405077ace3d1ccd1a1725216757aa3205f,
