date,value
1995-01-03,15.37
1995-01-04,15.37
1995-01-05,15.37
1995-01-06,15.37
1995-01-07,15.37
1995-01-09,15.58
1995-01-10,15.58
1995-01-11,15.69
1995-01-12,16.12
1995-01-13,16.56
1995-01-14,16.56
1995-01-16,17.21
1995-01-17,16.66
1995-01-18,16.66
1995-01-19,16.66
1995-01-20,16.88
1995-01-21,16.88
1995-01-23,17.1
1995-01-24,17.75
1995-01-25,18.3
1995-01-26,18.41
1995-01-27,18.41
1995-01-28,18.41
1995-02-02,18.52
1995-02-03,18.52
1995-02-04,18.52
1995-02-06,18.3
1995-02-07,18.3
1995-02-08,18.52
1995-02-09,18.52
1995-02-10,18.19
1995-02-11,18.19
1995-02-13,18.19
1995-02-14,18.08
1995-02-15,18.08
1995-02-16,18.08
1995-02-17,17.97
1995-02-18,17.97
1995-02-20,17.86
1995-02-21,17.75
1995-02-22,17.75
1995-02-23,17.75
1995-02-24,17.53
1995-02-25,17.53
1995-02-27,17.64
1995-02-28,17.64
1995-03-02,17.64
1995-03-03,17.53
1995-03-04,17.53
1995-03-06,17.43
1995-03-07,17.1
1995-03-08,16.66
1995-03-09,16.34
1995-03-10,16.23
1995-03-11,16.23
1995-03-13,16.12
1995-03-14,16.01
1995-03-15,16.01
1995-03-16,16.01
1995-03-17,15.8
1995-03-18,15.8
1995-03-20,15.37
1995-03-21,15.26
1995-03-22,15.26
1995-03-23,15.26
1995-03-24,15.26
1995-03-25,15.26
1995-03-27,15.26
1995-03-28,15.26
1995-03-29,15.26
1995-03-30,15.04
1995-03-31,14.94
1995-04-01,14.94
1995-04-03,14.72
1995-04-04,14.51
1995-04-06,14.61
1995-04-07,14.72
1995-04-08,14.72
1995-04-10,15.04
1995-04-11,15.26
1995-04-12,15.58
1995-04-13,15.26
1995-04-14,14.94
1995-04-15,14.72
1995-04-17,14.72
1995-04-18,14.83
1995-04-19,14.94
1995-04-20,15.04
1995-04-21,15.04
1995-04-22,15.04
1995-04-24,15.04
1995-04-25,15.1
1995-04-26,15.15
1995-04-27,15.15
1995-04-28,15.04
1995-04-29,15.04
1995-05-02,15.04
1995-05-03,15.04
1995-05-04,15.15
1995-05-06,15.15
1995-05-08,15.15
1995-05-09,15.15
1995-05-10,15.26
1995-05-11,15.37
1995-05-12,15.37
1995-05-13,15.37
1995-05-15,15.58
1995-05-16,15.58
1995-05-17,15.47
1995-05-18,15.37
1995-05-19,15.37
1995-05-20,15.37
1995-05-22,15.37
1995-05-23,15.47
1995-05-24,15.47
1995-05-25,15.47
1995-05-26,15.69
1995-05-27,15.69
1995-05-29,15.69
1995-05-30,15.53
1995-05-31,15.53
1995-06-01,15.37
1995-06-02,15.26
1995-06-03,15.26
1995-06-05,15.15
1995-06-07,15.04
1995-06-08,15.04
1995-06-09,14.99
1995-06-10,14.99
1995-06-12,14.83
1995-06-13,14.83
1995-06-14,14.94
1995-06-15,15.04
1995-06-16,15.04
1995-06-17,15.04
1995-06-19,14.94
1995-06-20,14.99
1995-06-21,15.04
1995-06-22,15.15
1995-06-23,15.21
1995-06-24,15.21
1995-06-26,15.31
1995-06-28,15.37
1995-06-29,15.47
1995-06-30,15.37
1995-07-01,15.37
1995-07-03,15.15
1995-07-04,15.04
1995-07-05,14.83
1995-07-06,14.83
1995-07-07,14.83
1995-07-08,14.83
1995-07-10,14.83
1995-07-11,14.83
1995-07-12,14.83
