date,value
2000-02-01,8.71
2000-02-02,8.71
2000-02-03,8.67
2000-02-07,8.63
2000-02-08,8.65
2000-02-09,8.66
2000-02-10,8.64
2000-02-11,8.61
2000-02-14,8.5
2000-02-15,8.51
2000-02-16,8.51
2000-02-17,8.54
2000-02-18,8.55
2000-02-21,8.55
2000-02-22,8.55
2000-02-23,8.51
2000-02-24,8.43
2000-02-25,8.28
2000-02-28,8.26
2000-02-29,8.25
2000-03-02,8.33
2000-03-03,8.35
2000-03-06,8.37
2000-03-07,8.37
2000-03-08,8.39
2000-03-09,8.36
2000-03-10,8.34
2000-03-13,8.34
2000-03-14,8.36
2000-03-15,8.38
2000-03-16,8.35
2000-03-17,8.33
2000-03-20,8.34
2000-03-21,8.34
2000-03-22,8.34
2000-03-23,8.34
2000-03-24,8.34
2000-03-27,8.34
2000-03-28,8.34
2000-03-29,8.32
2000-03-30,8.32
2000-03-31,8.32
2000-04-03,8.33
2000-04-04,8.33
2000-04-06,8.33
2000-04-07,8.31
2000-04-10,8.31
2000-04-11,8.32
2000-04-12,8.36
2000-04-14,8.38
2000-04-17,8.42
2000-04-18,8.37
2000-04-19,8.35
2000-04-20,8.35
2000-04-21,8.35
2000-04-24,8.35
2000-04-25,8.35
2000-04-26,8.35
2000-04-27,8.35
2000-04-28,8.32
2000-05-02,8.3
2000-05-03,8.29
2000-05-04,8.28
2000-05-08,8.28
2000-05-09,8.28
2000-05-10,8.29
2000-05-12,8.3
2000-05-15,8.32
2000-05-16,8.32
2000-05-17,8.32
2000-05-18,8.32
2000-05-19,8.37
2000-05-22,8.37
2000-05-23,8.42
2000-05-24,8.4
2000-05-25,8.39
2000-05-26,8.39
2000-05-29,8.39
2000-05-30,8.36
2000-05-31,8.35
2000-06-01,8.32
2000-06-02,8.31
2000-06-05,8.25
2000-06-07,8.25
2000-06-08,8.25
2000-06-09,8.25
2000-06-12,8.25
2000-06-13,8.26
2000-06-14,8.26
2000-06-15,8.26
2000-06-16,8.26
2000-06-19,8.26
2000-06-20,8.26
2000-06-21,8.25
2000-06-22,8.23
2000-06-23,8.2
2000-06-26,8.2
2000-06-27,8.2
2000-06-28,8.2
2000-06-29,8.17
2000-06-30,8.11
2000-07-03,7.81
2000-07-04,7.83
2000-07-05,7.78
2000-07-06,7.77
2000-07-07,7.65
2000-07-10,7.67
2000-07-11,7.67
2000-07-12,7.66
2000-07-13,7.66
2000-07-14,7.58
2000-07-18,7.48
2000-07-19,7.39
2000-07-20,7.4
2000-07-21,7.4
2000-07-24,7.4
2000-07-25,7.41
2000-07-26,7.39
2000-07-27,7.36
2000-07-28,7.33
2000-07-31,7.33
2000-08-01,7.31
2000-08-02,7.22
2000-08-03,7.18
2000-08-04,7.18
2000-08-07,7.18
2000-08-08,7.14
2000-08-09,7.12
2000-08-10,7.08
2000-08-11,7.11
2000-08-14,7.13
2000-08-16,7.16
2000-08-17,7.18
2000-08-18,7.23
2000-08-21,7.23
2000-08-22,7.22
2000-08-23,7.22
2000-08-24,7.24
2000-08-25,7.25
2000-08-28,7.25
2000-08-29,7.24
2000-08-30,7.2
2000-08-31,7.24
2000-09-01,7.24
2000-09-04,7.2
2000-09-05,7.2
2000-09-06,7.17
2000-09-07,7.17
2000-09-08,7.16
2000-09-14,7.2
2000-09-15,7.22
2000-09-18,7.33
2000-09-19,7.32
2000-09-20,7.31
2000-09-21,7.32
2000-09-22,7.35
2000-09-25,7.34
2000-09-26,7.33
2000-09-27,7.3
2000-09-28,7.29
2000-09-29,7.28
2000-10-02,7.25
2000-10-04,7.24
2000-10-05,7.22
2000-10-06,7.18
2000-10-09,7.16
2000-10-10,7.16
2000-10-11,7.17
2000-10-12,7.17
2000-10-13,7.2
2000-10-16,7.17
2000-10-17,7.15
2000-10-18,7.15
2000-10-19,7.11
2000-10-20,7.08
2000-10-23,7.08
2000-10-24,7.08
2000-10-25,7.07
2000-10-26,7.04
2000-10-27,7
2000-10-30,7
2000-10-31,7.03
2000-11-01,7.02
2000-11-02,7.03
2000-11-03,7.03
2000-11-06,7.04
2000-11-07,7.04
2000-11-08,7.02
2000-11-09,6.95
2000-11-10,6.84
2000-11-13,6.83
2000-11-14,6.83
2000-11-15,6.86
2000-11-16,6.89
2000-11-17,6.89
2000-11-20,6.93
2000-11-21,7
2000-11-22,6.99
2000-11-23,7.03
2000-11-24,7.02
2000-11-27,7
2000-11-28,7
2000-11-29,7
2000-11-30,7
2000-12-01,6.89
2000-12-04,6.69
2000-12-05,6.64
2000-12-06,6.63
2000-12-07,6.64
2000-12-08,6.62
2000-12-11,6.62
2000-12-12,6.65
2000-12-13,6.65
2000-12-14,6.62
2000-12-15,6.62
2000-12-18,6.63
2000-12-19,6.63
2000-12-20,6.63
2000-12-21,6.64
2000-12-22,6.64
2000-12-26,6.66
2000-12-27,6.74
2000-12-28,6.7
2000-12-29,6.69
2001-01-02,6.68
2001-01-03,6.63
2001-01-04,6.38
2001-01-05,6.17
2001-01-08,6.09
2001-01-09,6.08
2001-01-10,6.08
2001-01-11,5.98
2001-01-12,5.95
2001-01-15,5.98
2001-01-16,5.93
2001-01-17,5.94
2001-01-18,5.93
2001-01-19,5.92
2001-01-22,5.92
2001-01-26,5.92
2001-01-29,5.87
2001-01-30,5.81
2001-01-31,5.71
2001-02-01,5.7
2001-02-02,5.62
2001-02-05,5.55
2001-02-06,5.5
2001-02-07,5.45
2001-02-08,5.45
2001-02-09,5.41
2001-02-12,5.21
2001-02-13,5.18
2001-02-14,5.2
2001-02-15,5.2
2001-02-16,5.29
2001-02-19,5.34
