date,value
1995-01-03,13.85
1995-01-04,13.85
1995-01-05,13.85
1995-01-06,13.85
1995-01-07,13.85
1995-01-09,13.85
1995-01-10,13.85
1995-01-11,13.85
1995-01-12,13.85
1995-01-13,13.9
1995-01-14,13.95
1995-01-16,13.95
1995-01-17,13.95
1995-01-18,13.95
1995-01-19,13.95
1995-01-20,13.95
1995-01-21,13.95
1995-01-23,14
1995-01-24,14
1995-01-25,14
1995-01-26,14
1995-01-27,14
1995-01-28,14
1995-02-02,14
1995-02-03,14
1995-02-04,14
1995-02-06,14
1995-02-07,14.05
1995-02-08,14.05
1995-02-09,14.05
1995-02-10,14.05
1995-02-11,14.05
1995-02-13,14.05
1995-02-14,14.05
1995-02-15,14.05
1995-02-16,14.1
1995-02-17,14.2
1995-02-18,14.2
1995-02-20,14.2
1995-02-21,14.2
1995-02-22,14.2
1995-02-23,14.2
1995-02-24,14.2
1995-02-25,14.2
1995-02-27,14.2
1995-02-28,14.2
1995-03-02,14.2
1995-03-03,14.2
1995-03-04,14.2
1995-03-06,14.2
1995-03-07,14.2
1995-03-08,14.2
1995-03-09,14.2
1995-03-10,14.2
1995-03-11,14.2
1995-03-13,14.2
1995-03-14,14.2
1995-03-15,14.2
1995-03-16,14.2
1995-03-17,14.2
1995-03-18,14.2
1995-03-20,14.2
1995-03-21,14.2
1995-03-22,14.2
1995-03-23,14.2
1995-03-24,14.2
1995-03-25,14.2
1995-03-27,14.2
1995-03-28,14.2
1995-03-29,14.2
1995-03-30,14.2
1995-03-31,14.2
1995-04-03,14.2
1995-04-04,14.2
1995-04-06,14.2
1995-04-07,14.2
1995-04-10,14.2
1995-04-11,14.2
1995-04-12,14.2
1995-04-13,14.2
1995-04-14,14.2
1995-04-17,14.2
1995-04-18,14.2
1995-04-19,14.2
1995-04-20,14.2
1995-04-21,14.2
1995-04-24,14.2
1995-04-25,14.2
1995-04-26,14.2
1995-04-27,14.2
1995-04-28,14.2
1995-05-02,14.2
1995-05-03,14.2
1995-05-04,14.2
1995-05-08,14.2
1995-05-09,14.2
1995-05-10,14.2
1995-05-11,14.2
1995-05-12,14.2
1995-05-15,14.2
1995-05-16,14.2
1995-05-17,14.2
1995-05-18,14.2
1995-05-19,14.2
1995-05-22,14.2
1995-05-23,14.2
1995-05-24,14.2
1995-05-25,14.2
1995-05-26,14.2
1995-05-29,14.2
1995-05-30,14.2
1995-05-31,14.2
1995-06-01,14.2
1995-06-02,14.2
1995-06-05,14.2
1995-06-07,14.2
1995-06-08,14.2
1995-06-09,14.2
1995-06-12,14.2
1995-06-13,14.2
1995-06-14,14.2
1995-06-15,14.2
1995-06-16,14.2
1995-06-19,14.2
1995-06-20,14.2
