date,value
2006-09-25,4.54
2006-09-26,4.55
2006-09-27,4.55
2006-09-28,4.55
2006-09-29,4.54
2006-10-02,4.55
2006-10-04,4.55
2006-10-09,4.55
2006-10-10,4.55
2006-10-11,4.55
2006-10-12,4.55
2006-10-13,4.55
2006-10-16,4.55
2006-10-17,4.55
2006-10-18,4.55
2006-10-19,4.55
2006-10-20,4.55
2006-10-23,4.55
2006-10-24,4.57
2006-10-25,4.57
2006-10-26,4.56
2006-10-27,4.56
2006-10-30,4.57
2006-10-31,4.57
2006-11-01,4.57
2006-11-02,4.56
2006-11-03,4.56
2006-11-06,4.58
2006-11-07,4.59
2006-11-08,4.59
2006-11-09,4.57
2006-11-10,4.57
2006-11-13,4.57
2006-11-14,4.58
2006-11-15,4.58
2006-11-16,4.58
2006-11-17,4.58
2006-11-20,4.58
2006-11-21,4.58
2006-11-22,4.58
2006-11-23,4.59
2006-11-24,4.59
2006-11-27,4.59
2006-11-28,4.61
2006-11-29,4.62
2006-11-30,4.62
2006-12-01,4.62
2006-12-04,4.62
2006-12-05,4.62
2006-12-06,4.62
2006-12-07,4.62
2006-12-08,4.62
2006-12-11,4.63
2006-12-12,4.63
2006-12-13,4.63
2006-12-14,4.64
2006-12-15,4.64
2006-12-18,4.64
2006-12-19,4.64
2006-12-20,4.64
2006-12-21,4.64
2006-12-22,4.66
2006-12-26,4.7
2006-12-27,4.7
2006-12-28,4.7
2006-12-29,4.7
2007-01-02,4.72
2007-01-03,4.72
2007-01-04,4.72
2007-01-05,4.71
2007-01-08,4.71
2007-01-09,4.72
2007-01-10,4.72
2007-01-11,4.72
2007-01-12,4.75
2007-01-15,4.76
2007-01-16,4.77
2007-01-17,4.83
2007-01-18,4.84
2007-01-19,4.83
2007-01-22,4.84
2007-01-23,4.87
2007-01-24,4.89
2007-01-25,4.89
2007-01-26,4.9
2007-01-29,4.89
2007-01-30,4.89
2007-01-31,4.88
2007-02-01,4.85
2007-02-02,4.86
2007-02-05,4.86
2007-02-06,4.86
2007-02-07,4.85
2007-02-08,4.85
2007-02-09,4.85
2007-02-12,4.85
2007-02-13,4.86
2007-02-14,4.86
2007-02-15,4.84
2007-02-16,4.84
2007-02-20,4.86
2007-02-21,4.85
2007-02-22,4.85
2007-02-23,4.85
2007-02-26,4.84
2007-02-27,4.85
2007-02-28,4.85
2007-03-02,4.85
2007-03-05,4.84
2007-03-06,4.86
2007-03-07,4.85
2007-03-08,4.85
2007-03-09,4.85
2007-03-12,4.86
2007-03-13,4.86
2007-03-14,4.85
2007-03-15,4.85
2007-03-16,4.84
2007-03-19,4.84
2007-03-20,4.84
2007-03-21,4.84
2007-03-22,4.84
2007-03-23,4.84
2007-03-26,4.84
2007-03-27,4.84
2007-03-28,4.84
2007-03-29,4.84
2007-03-30,4.84
2007-04-02,4.85
2007-04-03,4.87
2007-04-04,4.88
2007-04-05,4.88
2007-04-06,4.88
2007-04-09,4.9
2007-04-10,4.9
2007-04-11,4.9
2007-04-12,4.9
2007-04-13,4.9
2007-04-16,4.9
2007-04-17,4.9
2007-04-18,4.89
2007-04-19,4.89
2007-04-20,4.91
2007-04-23,4.9
2007-04-24,4.9
2007-04-25,4.9
2007-04-26,4.92
2007-04-27,4.93
2007-04-30,4.95
2007-05-02,4.95
2007-05-03,4.95
2007-05-04,4.95
2007-05-07,4.95
2007-05-08,4.97
2007-05-09,4.97
2007-05-10,4.98
2007-05-11,4.98
2007-05-14,4.98
2007-05-15,4.97
2007-05-16,4.97
2007-05-17,4.98
2007-05-18,4.99
2007-05-21,4.99
2007-05-22,4.96
2007-05-23,4.95
2007-05-25,4.94
2007-05-28,4.94
2007-05-29,4.89
2007-05-30,4.89
2007-05-31,4.88
2007-06-01,4.88
2007-06-04,4.88
2007-06-05,4.88
2007-06-07,4.88
2007-06-08,4.9
2007-06-11,4.9
2007-06-12,4.91
2007-06-13,4.91
2007-06-14,4.91
2007-06-15,4.91
2007-06-18,4.91
2007-06-19,4.91
2007-06-20,4.91
2007-06-21,4.92
2007-06-22,4.92
2007-06-25,4.92
2007-06-26,4.92
2007-06-27,4.91
2007-06-28,4.91
2007-06-29,4.91
2007-07-02,4.91
2007-07-03,4.92
2007-07-04,4.93
2007-07-05,4.94
2007-07-06,4.94
2007-07-09,4.94
2007-07-10,4.94
2007-07-11,4.94
2007-07-12,4.97
2007-07-13,4.98
2007-07-16,4.98
2007-07-18,4.97
2007-07-19,4.97
2007-07-20,4.97
2007-07-23,4.97
2007-07-24,4.97
2007-07-25,4.97
2007-07-26,4.97
2007-07-27,4.96
2007-07-30,4.96
2007-07-31,4.96
2007-08-01,4.96
2007-08-02,4.96
2007-08-03,4.96
2007-08-06,4.96
2007-08-07,4.96
2007-08-08,4.96
2007-08-09,5.01
2007-08-10,5.03
2007-08-13,5.03
2007-08-14,5.04
2007-08-16,5.04
