date,msb_3m,msb_6m,msb_9m,ktb_3m,ktb_6m,ktb_9m,ktb_1y,ktb_2y,ktb_3y,ktb_5y,ktb_10y,ktb_20y,ktb_30y
2013-01-02,2.77,2.77,2.77,2.73,2.76,2.77,2.78,2.81,2.82,2.98,3.19,3.30,3.36
2013-01-03,2.73,2.74,2.74,2.71,2.73,2.74,2.74,2.75,2.76,2.91,3.13,3.25,3.32
2013-01-04,2.71,2.72,2.72,2.69,2.72,2.72,2.72,2.73,2.74,2.89,3.13,3.24,3.34
2013-01-07,2.71,2.72,2.72,2.69,2.71,2.72,2.72,2.74,2.76,2.89,3.10,3.21,3.36
2013-01-08,2.70,2.70,2.70,2.68,2.70,2.71,2.71,2.73,2.75,2.87,3.05,3.17,3.32
2013-01-09,2.70,2.70,2.70,2.68,2.70,2.71,2.71,2.73,2.75,2.87,3.05,3.17,3.31
2013-01-10,2.67,2.67,2.67,2.66,2.67,2.68,2.69,2.69,2.70,2.82,3.02,3.15,3.28
2013-01-11,2.71,2.71,2.71,2.70,2.71,2.72,2.73,2.75,2.76,2.88,3.05,3.18,3.30
2013-01-14,2.71,2.72,2.72,2.70,2.71,2.72,2.73,2.76,2.76,2.88,3.04,3.16,3.29
2013-01-15,2.70,2.70,2.70,2.69,2.70,2.71,2.72,2.73,2.73,2.84,3.01,3.13,3.27
2013-01-16,2.70,2.70,2.70,2.69,2.70,2.71,2.72,2.74,2.74,2.84,3.02,3.14,3.29
2013-01-17,2.70,2.70,2.70,2.69,2.70,2.70,2.71,2.72,2.72,2.82,2.99,3.11,3.26
2013-01-18,2.70,2.71,2.71,2.70,2.71,2.71,2.72,2.74,2.74,2.85,3.02,3.14,3.29
2013-01-21,2.70,2.71,2.71,2.70,2.71,2.71,2.72,2.74,2.74,2.85,3.02,3.14,3.30
2013-01-22,2.70,2.71,2.71,2.70,2.70,2.71,2.71,2.73,2.73,2.84,3.02,3.14,3.31
2013-01-23,2.70,2.71,2.71,2.70,2.70,2.71,2.71,2.72,2.72,2.83,3.01,3.13,3.29
2013-01-24,2.70,2.71,2.71,2.70,2.70,2.71,2.71,2.71,2.71,2.82,3.00,3.13,3.28
2013-01-25,2.71,2.71,2.71,2.70,2.70,2.71,2.71,2.71,2.71,2.81,2.99,3.12,3.28
2013-01-28,2.73,2.73,2.73,2.71,2.72,2.72,2.73,2.74,2.74,2.85,3.03,3.15,3.29
2013-01-29,2.73,2.73,2.73,2.71,2.72,2.72,2.73,2.74,2.74,2.86,3.05,3.17,
2013-01-30,2.74,2.75,2.75,2.72,2.73,2.74,2.75,2.77,2.77,2.90,3.10,3.21,3.33
2013-01-31,2.73,2.74,2.74,2.71,2.72,2.73,2.74,2.75,2.75,2.89,3.09,3.20,3.33
2013-02-01,2.73,2.73,2.74,2.71,2.72,2.73,2.73,2.75,2.76,2.90,3.12,3.22,3.36
2013-02-04,2.73,2.73,2.74,2.71,2.72,2.73,2.73,2.75,2.76,2.90,3.11,3.21,3.34
2013-02-05,2.72,2.72,2.72,2.70,2.71,2.71,2.71,2.74,2.75,2.88,3.08,3.18,3.32
2013-02-06,2.70,2.70,2.70,2.68,2.69,2.69,2.69,2.71,2.72,2.85,3.06,3.17,3.32
2013-02-07,2.70,2.70,2.70,2.68,2.69,2.69,2.69,2.71,2.73,2.85,3.06,3.18,3.32
2013-02-08,2.70,2.70,2.70,2.68,2.69,2.69,2.69,2.70,2.72,2.84,3.05,3.17,3.31
2013-02-12,2.69,2.69,2.69,2.67,2.68,2.68,2.68,2.69,2.71,2.83,3.04,3.16,3.30
2013-02-13,2.69,2.69,2.69,2.68,2.68,2.68,2.69,2.71,2.73,2.86,3.08,3.19,3.33
2013-02-14,2.69,2.69,2.69,2.68,2.68,2.68,2.69,2.71,2.73,2.86,3.09,3.21,3.33
2013-02-15,2.68,2.68,2.68,2.67,2.67,2.67,2.68,2.70,2.72,2.84,3.08,3.20,3.32
2013-02-18,2.67,2.67,2.67,2.66,2.66,2.66,2.67,2.69,2.71,2.83,3.06,3.18,3.31
2013-02-19,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.67,2.68,2.80,3.02,3.15,3.29
2013-02-20,2.66,2.66,2.66,2.66,2.66,2.66,2.67,2.70,2.70,2.82,3.04,3.17,3.30
2013-02-21,2.65,2.65,2.65,2.64,2.65,2.65,2.65,2.68,2.68,2.79,3.01,3.14,3.27
2013-02-22,2.65,2.65,2.65,2.65,2.65,2.65,2.66,2.68,2.68,2.80,3.02,3.15,3.28
2013-02-25,2.65,2.65,2.65,2.64,2.65,2.65,2.66,2.68,2.68,2.80,3.02,3.15,3.28
2013-02-26,2.63,2.64,2.64,2.63,2.63,2.63,2.64,2.65,2.65,2.76,2.97,3.11,3.25
2013-02-27,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.73,2.93,3.07,3.21
2013-02-28,2.62,2.63,2.63,2.62,2.62,2.62,2.63,2.63,2.63,2.74,2.95,3.08,3.21
2013-03-04,2.61,2.62,2.62,2.61,2.62,2.62,2.62,2.63,2.63,2.74,2.95,3.08,3.21
2013-03-05,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.62,2.62,2.73,2.94,3.08,3.18
2013-03-06,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.64,2.64,2.75,2.96,3.10,3.20
2013-03-07,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.66,2.66,2.77,2.99,3.13,3.23
2013-03-08,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.65,2.66,2.77,2.99,3.12,3.21
2013-03-11,2.63,2.63,2.64,2.63,2.63,2.63,2.64,2.65,2.66,2.77,3.00,3.13,3.21
2013-03-12,2.60,2.60,2.61,2.60,2.60,2.60,2.61,2.61,2.61,2.71,2.95,3.09,3.18
2013-03-13,2.60,2.60,2.61,2.60,2.60,2.60,2.60,2.62,2.61,2.72,2.96,3.10,3.18
