status,slug,category,description,stat_code,cycle,items,rows,first_time,last_time,downloaded_at_utc,relative_path,sha256,error
ok,msb_3m_val_daily,valuation,통안증권 3개월 민평 시가평가(교차검증용),4000000/0003,D,0003,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\msb_3m_val_daily.csv,b2b8afcda40221cf4df4516a5eb2dffd15b7f578505676941eb6a3f632f04da9,
ok,msb_6m_val_daily,valuation,통안증권 6개월 민평 시가평가 — ECOS 일별표에 없는 핵심 만기,4000000/0006,D,0006,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\msb_6m_val_daily.csv,f21ba8fe2d0ca00df3806ff7ccbb935b8334ec89af9b9ade61e16d9894c26536,
ok,msb_9m_val_daily,valuation,통안증권 9개월 민평 시가평가(존재 시),4000000/0009,D,0009,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\msb_9m_val_daily.csv,5c05a6eb96b6b60a51a0afa36a127f702e7e8d9e27ac221cc0615f4e3138dc23,
ok,ktb_3m_val_daily,valuation,국고채 3개월 민평 — AFNS 단기구간,1010000/0003,D,0003,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_3m_val_daily.csv,5773746a3369825a67ecda17858819c21adaaad34043bc2a39f1845c7f1debc5,
ok,ktb_6m_val_daily,valuation,국고채 6개월 민평 — AFNS 단기구간,1010000/0006,D,0006,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_6m_val_daily.csv,ed31cb99ea77d1ffb610daaefbe5797c39eb9a0b8ac18c18caba5bc0cadc9775,
ok,ktb_9m_val_daily,valuation,국고채 9개월 민평 — AFNS 단기구간,1010000/0009,D,0009,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_9m_val_daily.csv,67639204491f4ff6a4c744c6e67f1e524283db8ad7ce3347059b044b147ff217,
ok,ktb_1y_val_daily,valuation,국고채 1년 민평(ECOS 교차검증),1010000/0100,D,0100,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_1y_val_daily.csv,118db77ee8f7541c4d6cd8800bc3a9c8468e1302a3e9ff4e1e743a7158445425,
empty,ktb_18m_val_daily,valuation,국고채 1년6개월 민평,1010000/0150,D,0150,0,,,2026-08-28T00:38:19.486856+00:00,,,no rows returned for this bond-type/tenor
ok,ktb_2y_val_daily,valuation,국고채 2년 민평(ECOS 2021-03 이전 구간 보강),1010000/0200,D,0200,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_2y_val_daily.csv,97aa0777d11a9838aacc533674fb9a672c471489f1bc534d1945e0b0464737e7,
empty,ktb_30m_val_daily,valuation,국고채 2년6개월 민평,1010000/0250,D,0250,0,,,2026-08-28T00:38:19.486856+00:00,,,no rows returned for this bond-type/tenor
ok,ktb_3y_val_daily,valuation,국고채 3년 민평(ECOS 교차검증),1010000/0300,D,0300,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_3y_val_daily.csv,189699ed43b2ad91a4117d9f910cd1d1b392d292f04f2329f0e0b52f36fd58bb,
ok,ktb_5y_val_daily,valuation,국고채 5년 민평,1010000/0500,D,0500,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_5y_val_daily.csv,d4ba9915c11dde255c2e3635751e2424d63eee518dbc1252605475b7c113b671,
ok,ktb_10y_val_daily,valuation,국고채 10년 민평,1010000/1000,D,1000,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_10y_val_daily.csv,9bbf630dd637f382cc3f46cc44d17adbf22fa42df12edbe7da312653104dfbc8,
ok,ktb_20y_val_daily,valuation,국고채 20년 민평,1010000/2000,D,2000,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_20y_val_daily.csv,7859755a3e4a3d8beae8b2a1dafb0328daab5b3d756b0f7c4a48cef86a8cebd2,
ok,ktb_30y_val_daily,valuation,국고채 30년 민평,1010000/3000,D,3000,3365,2013-01-02,2026-08-27,2026-08-28T00:38:19.486856+00:00,rawdata\kofia\valuation\ktb_30y_val_daily.csv,47507a1508b478d94752653d8276dcba846c3e046200972068ca5f3f27eeeb3d,
