release_date,survey_label,target_meeting,days_to_meeting,hike_pct,hold_pct,cut_pct,bmsi_rate_index,source_type,source_url,note
2013-01-09,2013년 1월 채권시장지표(BMSI),2013-01-11,2,,89.8,,108.6,news-article,http://v.daum.net/v/20130109110406864,"뉴시스. 기준금리 BMSI 108.6, 응답자 128명(채권보유·운용 종사자). 연합뉴스(20130109103120783)도 89.8% 확인"
2013-02-12,2013년 2월 채권시장지표(BMSI),2013-02-14,2,,84,15.2,114.4,news-article,http://v.daum.net/v/20130212114311108,"뉴시스. 기준금리 BMSI 114.4, 응답자 125명"
2013-03-12,2013년 3월 채권시장지표(BMSI),2013-03-14,2,,53.8,46.2,,news-article,http://v.daum.net/v/20130312105812189,"동결 53.8%는 연합뉴스, 인하 46.2%(132명 중 61명)는 한국경제(v.daum.net/v/20130312171905838)에서 각각 확인"
2013-04-09,2013년 4월 채권시장지표(BMSI),2013-04-11,2,,,57.9,157.9,news-article,http://v.daum.net/v/20130409141305822,뉴시스. 기준금리 BMSI 157.9(전월비 +11.7p). 동결 비율은 기사에 미기재(잔여 약 42.1%는 추정이므로 미기록)
2013-05-07,2013년 5월 채권시장지표(BMSI),2013-05-09,2,,71.3,,,news-article,http://v.daum.net/v/20130507102513237,연합뉴스 본문 71.3%(122명) 채택. 아시아경제 1건은 73.1%로 표기돼 상충
2013-06-11,2013년 6월 채권시장지표(BMSI),2013-06-13,2,,97.8,,,news-article,http://v.daum.net/v/20130611104924007,머니투데이 계열 본문 97.8% 확인
2013-07-09,2013년 7월 채권시장지표(BMSI),2013-07-11,2,,99.2,,,news-article,http://v.daum.net/v/20130709105617637,아시아경제·머니투데이 등 복수 매체 99.2%
2013-08-06,2013년 8월 채권시장지표(BMSI),2013-08-08,2,,100,,,news-article,http://v.daum.net/v/20130806104110792,복수 매체 '채권전문가 100% 동결'
2013-09-10,2013년 9월 채권시장지표(BMSI),2013-09-12,2,,100,,,news-article,http://v.daum.net/v/20130910153115703,"서울경제 등 복수 매체 100% 동결(응답 201명, 채권 종사자 126명 전원)"
2013-10-08,2013년 10월 채권시장지표(BMSI),2013-10-10,2,,98.4,,,news-article,http://v.daum.net/v/20131008111908235,뉴시스 등 98.4%
2013-11-12,2013년 11월 채권시장지표(BMSI),2013-11-14,2,,99.2,,,news-article,http://v.daum.net/v/20131112113118990,복수 매체 99.2%
2013-12-10,2013년 12월 채권시장지표(BMSI),2013-12-12,2,,99.2,,,news-article,http://v.daum.net/v/20131210105608640,복수 매체 99.2%
2014-01-07,2014년 1월 채권시장지표(BMSI),2014-01-09,2,,99.2,,,news-article,http://v.daum.net/v/20140107113511993,복수 매체 99.2%
2014-02-11,2014년 2월 채권시장지표(BMSI),2014-02-13,2,,99.2,,,news-article,http://v.daum.net/v/20140211110007975,복수 매체 99.2%
2014-03-11,2014년 3월 채권시장지표(BMSI),2014-03-13,2,,99.2,,,news-article,http://v.daum.net/v/20140313105107484,"발표 기사는 3/11(99%로 반올림 표기), 99.2%(124명 기준) 명시는 3/13 연합뉴스 종합기사"
2014-04-08,2014년 4월 채권시장지표(BMSI),2014-04-10,2,,99.2,,,news-article,http://v.daum.net/v/20140408181515697,본문 99.2%(제목은 99%)
2014-05-07,2014년 5월 채권시장지표(BMSI),2014-05-09,2,,98.4,,,news-article,http://v.daum.net/v/20140507145110011,복수 매체 98.4%
2014-06-10,2014년 6월 채권시장지표(BMSI),2014-06-12,2,,100,,,news-article,http://v.daum.net/v/20140610143515462,만장일치 동결 전망(응답 118명)
2014-07-08,2014년 7월 채권시장지표(BMSI),2014-07-10,2,,94.6,,,news-article,http://v.daum.net/v/20140708141512745,복수 매체 94.6%
2014-08-12,2014년 8월 채권시장지표(BMSI),2014-08-14,2,,,81.7,,news-article,http://v.daum.net/v/20140812100407480,복수 매체 인하 81.7%. 동결 비율 미보도(잔여 약 18%는 추정이므로 미기록). 8/14 금통위 실제 인하(2.50→2.25%)
2014-09-05,2014년 9월 채권시장지표(BMSI),2014-09-12,7,,96.5,,,news-article,http://v.daum.net/v/20140905112706052,본문 96.5%(응답 113명)
2014-10-13,2014년 10월 채권시장지표(BMSI),2014-10-15,2,,,50.4,,news-article,http://v.daum.net/v/20141013143608418,뉴시스 본문: 채권보유·운용 종사자 113명 중 57명(50.4%) 인하 전망. 동결 비율 명시 없음(잔여 49.6%는 추정이므로 미기록). 10/15 금통위 실제 인하(2.25→2.00%)
2014-11-11,2014년 11월 채권시장지표(BMSI),2014-11-13,2,,99,,,news-article,http://v.daum.net/v/20141111100406722,본문 99.0%(응답 104명)
2014-12-09,2014년 12월 채권시장지표(BMSI),2014-12-11,2,,98.2,,,news-article,http://v.daum.net/v/20141209103104271,복수 매체 98.2%
2015-01-13,2015년 1월 채권시장지표(BMSI),2015-01-15,2,,96.4,,,news-article,http://v.daum.net/v/20150113095413658,복수 매체 96.4%
